inPortNo,numVisit,numVisitCargo,numVisitTanker,period
50060,341,97,48,201901
51803,46,44,1,201901
51010,20,13,5,201903
51330,1,0,1,201900
52695,9,1,4,201901
52297,9,1,7,201902
52297,8,0,8,201906
51350,4,0,0,201901
50652,1,1,0,201900
51260,116,1,36,201903
52523,11,1,4,201901
51504,20,3,5,201902
50210,9,3,4,201904
51855,9,4,4,201900
51100,127,46,58,201905
50930,20,5,7,201904
53020,43,12,16,201905
51920,16,5,9,201902
50180,3,0,3,201900
50060,423,102,73,201900
52065,51,25,20,201900
51855,14,3,7,201903
52440,2,0,2,201906
50785,110,18,85,201905
53020,35,8,13,201904
51870,69,35,28,201904
51205,6,2,3,201904
50070,10,8,2,201905
50516,3018,281,2138,201904
50210,10,3,7,201903
52040,7,4,2,201900
51500,1,0,0,201900
51020,3,3,0,201903
50380,120,65,45,201902
51803,17,14,2,201906
51320,8,2,6,201903
53100,10,4,1,201905
51220,83,21,60,201905
52680,1,1,0,201901
51850,3,0,0,201901
51220,87,17,70,201904
51350,3,0,2,201904
51502,1,0,1,201903
50055,7500,1571,3273,201903
50805,29,16,11,201905
52140,2,1,1,201905
51770,30,23,4,201902
52480,1,1,0,201902
51504,17,2,6,201905
51504,19,3,3,201904
52295,11,5,6,201900
51120,2,2,0,201901
51280,74,15,17,201905
52720,39,11,24,201905
50210,11,3,7,201902
50250,4,4,0,201905
51320,9,4,3,201902
51030,4,2,1,201903
53050,11,0,1,201906
51840,17,2,9,201902
50516,3561,292,1923,201903
51845,179,88,74,201900
50650,4,1,1,201905
51910,20,8,6,201901
51845,195,68,90,201905
52720,163,19,38,201900
51040,68,40,16,201906
51820,27,11,3,201906
50610,7,2,0,201904
50231,15,2,10,201902
51205,6,2,2,201905
51180,2,2,0,201906
51845,201,82,72,201902
50510,6,2,2,201906
51501,5,0,1,201905
52040,7,3,1,201901
51850,1,0,1,201904
51330,2,0,2,201905
53100,8,4,0,201906
50030,3760,809,2154,201902
52240,31,17,10,201901
52260,42,7,20,201904
53115,19,17,0,201906
52260,51,11,26,201903
51501,15,1,0,201906
52235,7,2,5,201902
51830,41,9,9,201902
53050,9,0,3,201905
51400,22,12,3,201901
51800,10,7,0,201904
52680,2,0,2,201903
52523,17,0,0,201906
50450,58,29,25,201905
52260,32,3,20,201906
51100,105,25,56,201906
50120,6,2,3,201902
52230,5,4,1,201901
51350,2,0,2,201906
50440,3,0,2,201902
50040,4,2,2,201901
52235,4,3,1,201901
50935,259,93,144,201902
52040,22,3,19,201905
50055,8129,1778,3827,201905
51010,14,6,5,201901
50300,107,37,53,201900
52510,8,2,3,201901
51920,13,10,2,201905
51205,5,2,2,201903
53020,229,12,12,201900
50300,115,44,51,201903
50730,76,44,26,201902
50932,15,3,5,201900
52350,13,7,4,201903
50350,91,1,17,201903
52523,4,0,1,201900
51340,2,1,1,201906
53115,33,30,1,201903
51484,5,0,1,201902
50441,25,9,11,201900
52297,11,2,9,201903
50440,7,2,4,201901
52480,2,2,0,201903
53100,6,2,1,201901
51280,52,10,9,201904
50935,238,80,136,201905
51040,105,66,20,201905
51870,59,24,29,201901
51865,9,9,0,201901
51070,6,3,2,201904
51890,65,33,8,201906
51855,13,6,4,201906
52940,7,3,1,201903
50518,14,6,8,201905
52940,7,3,0,201902
53020,47,15,12,201901
50930,20,10,6,201906
51400,32,7,11,201903
51855,9,4,4,201904
51800,3,2,0,201903
51502,4,0,2,201905
51830,36,12,8,201900
50785,102,18,76,201903
53050,5,1,1,201903
50700,5,2,3,201904
50340,201,14,7,201903
50510,8,3,3,201903
50932,20,7,5,201901
50740,2,1,0,201903
50740,2,1,0,201901
50055,6251,1300,3269,201904
51280,33,8,15,201901
52270,9,5,0,201902
51820,30,11,2,201902
52220,16,7,4,201902
50300,108,44,43,201901
51504,14,6,2,201906
51350,2,0,2,201905
50971,386,271,63,201905
51870,48,19,24,201906
52695,13,0,6,201906
51941,49,32,14,201901
50785,100,11,85,201904
51320,8,2,6,201905
50932,13,4,8,201905
51040,95,61,20,201904
50040,7,1,3,201900
51400,25,5,11,201905
52270,5,2,0,201900
51865,9,6,2,201900
50231,13,0,12,201904
50100,3,2,0,201905
50805,32,13,15,201902
51941,43,24,14,201902
53115,27,23,2,201902
50600,9,2,3,201903
51290,9,3,0,201900
50516,2663,233,1903,201900
51330,3,1,2,201902
50340,286,11,8,201902
50650,12,4,6,201904
52940,5,4,0,201900
51910,17,8,5,201906
53133,13,7,4,201902
52870,7,1,3,201902
50440,2,2,0,201903
50120,8,2,2,201904
51040,93,62,18,201902
51810,25,24,1,201904
52440,2,1,1,201900
50970,496,240,55,201906
50045,2,0,0,201900
51180,5,3,0,201902
50517,11,5,4,201900
50730,58,33,19,201906
51260,106,2,41,201906
52440,4,1,1,201901
51860,3,2,1,201904
50450,42,18,22,201906
50330,1,0,0,201900
50970,1148,391,64,201904
51810,11,11,0,201906
51200,45,4,37,201902
50930,25,9,7,201901
50070,9,8,0,201902
51330,2,0,2,201906
51502,1,1,0,201900
51130,498,357,99,201905
53130,8,6,0,201902
51484,6,1,1,201906
52523,6,0,3,201902
52510,13,2,6,201906
53130,6,5,0,201904
50300,102,39,39,201904
52940,11,5,1,201901
50450,54,27,22,201901
53100,11,4,2,201904
53010,12,5,1,201905
51920,13,7,3,201901
50700,7,0,6,201900
51070,3,1,1,201905
50055,5716,936,3213,201906
52350,24,10,14,201901
50441,15,6,7,201906
50517,28,14,4,201905
51010,14,7,6,201904
50932,16,4,4,201904
50971,371,260,70,201902
50120,8,3,4,201900
50340,75,19,7,201904
51200,59,7,48,201903
52065,46,24,16,201901
51484,1,0,0,201903
51254,9,7,2,201903
52090,4,2,2,201902
52510,11,3,7,201905
51800,2,2,0,201900
52695,8,0,4,201905
53010,18,8,3,201904
51220,88,24,64,201903
51840,18,1,9,201904
50100,7,0,0,201904
51030,1,0,0,201902
50516,2097,211,1383,201906
51870,72,35,28,201902
51040,97,70,19,201903
50140,165,64,78,201901
51350,3,0,2,201903
50518,8,6,1,201904
50070,7,5,2,201901
52090,4,3,1,201900
52870,12,0,2,201904
51400,20,7,10,201902
52065,59,19,35,201905
52230,4,0,2,201905
51910,24,13,9,201905
51205,16,2,1,201901
50340,105,10,12,201901
53050,2,0,0,201904
51220,75,20,50,201901
53100,9,2,1,201903
50350,82,5,14,201904
50060,420,107,96,201906
51205,9,2,5,201900
51180,10,2,2,201901
51800,1,1,0,201906
51330,5,2,1,201901
51260,57,0,39,201900
51254,17,11,1,201904
52240,33,19,9,201906
52760,1,1,0,201904
50055,6286,1458,3214,201901
50140,151,63,56,201904
50925,14,7,1,201903
50935,226,79,122,201904
50340,69,30,9,201905
53115,25,21,1,201900
53133,20,8,9,201904
52140,3,0,2,201902
51803,57,53,1,201903
51860,5,0,3,201903
51920,10,4,3,201900
51320,5,4,1,201901
50970,4952,388,76,201902
51130,480,347,76,201904
52220,19,6,4,201900
50925,10,4,4,201902
50790,7,1,4,201904
51254,7,6,1,201906
50100,7,3,1,201902
52230,6,2,4,201903
52760,4,0,0,201901
52523,13,0,1,201905
51040,105,77,14,201901
50250,2,0,0,201906
52695,9,0,3,201902
51780,1,1,0,201904
51100,130,28,49,201904
53020,28,3,13,201906
50730,86,50,24,201900
52297,10,0,8,201904
50060,805,134,79,201903
51845,135,43,68,201906
52230,8,6,2,201902
50516,2763,239,1853,201902
51280,31,8,10,201903
50510,11,4,3,201904
51400,25,5,13,201904
52560,1,1,0,201903
50450,56,28,26,201900
52260,51,7,20,201900
53130,9,2,4,201900
50790,10,1,9,201901
51870,73,35,26,201905
50930,18,5,10,201905
53050,3,3,0,201901
51484,4,0,0,201905
51260,63,3,42,201901
50785,87,8,70,201906
51504,18,5,4,201903
52720,47,17,28,201901
51130,458,328,82,201902
51100,97,28,56,201900
51815,742,122,9,201904
50610,5,1,2,201902
50441,24,10,9,201903
50650,7,1,4,201906
50180,4,3,1,201905
52140,1,1,0,201900
52695,8,0,3,201900
51941,47,31,10,201904
51840,24,2,6,201906
52720,33,4,20,201906
51200,46,7,33,201906
52320,129,83,37,201900
52320,136,87,36,201904
52040,8,2,5,201903
50440,4,1,3,201905
52270,14,9,1,201905
50600,9,3,3,201905
51254,10,8,2,201901
51910,22,11,9,201900
51830,43,8,14,201906
51860,4,1,0,201902
50600,6,2,0,201902
51920,11,4,5,201903
50330,1,0,0,201904
