inPortNo,numVisit,numVisitCargo,numVisitTanker,period
53130,8,4,0,201907
52870,15,0,1,201911
52480,2,2,0,201911
50805,37,18,14,201911
51260,135,0,36,201909
52350,16,11,5,201909
50250,14,8,2,201911
52870,19,2,1,201910
50100,5,0,0,201909
51200,53,9,36,201909
52510,13,2,5,201911
51280,75,9,15,201907
51830,71,21,9,201907
51070,9,4,1,201908
51800,5,4,0,201909
50330,1,0,0,201911
51770,40,24,7,201909
52240,52,32,11,201911
52230,6,4,2,201907
50030,4673,1319,2575,202000
50340,120,55,24,202000
51220,70,20,49,202000
51120,1,0,0,202000
50350,42,11,12,201907
51500,6,1,0,201911
51502,4,0,1,201910
50380,139,69,54,201908
51820,37,12,9,201911
51941,60,41,17,201909
52140,2,1,1,201909
51205,6,4,2,201911
51845,190,67,92,201910
52260,43,14,22,201910
51220,95,28,67,201911
50785,266,25,87,202000
53020,47,14,14,201909
51400,23,9,9,201907
52720,58,15,28,201908
50300,124,45,56,201909
51501,5,3,0,201908
51845,230,101,87,201907
50300,132,38,60,202000
51820,41,16,4,201910
50650,7,1,4,201907
52680,2,0,1,201909
51180,9,5,1,201907
52940,11,9,0,201910
52523,21,0,2,201907
51865,10,7,1,201911
50805,34,15,14,201908
52240,42,29,9,201909
51803,36,35,1,201910
50040,15,2,4,202000
51220,77,24,51,201908
51260,152,0,48,201907
51502,7,0,0,201911
52560,2,2,0,202000
51803,40,38,1,201911
51030,5,3,1,202000
52560,1,0,0,201911
51890,105,59,10,201907
50517,38,17,7,202000
50120,20,8,5,201908
50935,307,102,179,201910
50785,130,15,107,201909
50785,150,23,117,201910
50045,10,3,2,201911
51280,73,8,11,201908
50070,5,2,3,201909
51220,96,23,73,201907
50600,3,1,1,201907
51815,144,118,12,201910
52090,5,2,2,201907
53133,16,5,8,202000
50510,7,3,1,201907
51855,16,5,8,201907
50300,124,39,61,201908
50340,92,29,19,201911
50600,11,9,1,201910
50055,6890,1622,3930,202000
52065,53,23,11,201908
50600,13,9,2,201908
50510,9,3,2,201908
52240,50,28,12,201910
52695,9,0,5,201911
50700,8,5,3,201909
51780,8,0,0,201909
50518,18,8,10,201909
53133,19,7,12,201911
50516,2995,285,1924,201908
51845,211,69,93,201911
51280,177,95,19,202000
50600,8,6,2,202000
50518,15,6,6,201910
50610,5,2,1,201911
50250,21,9,0,202000
51890,90,29,16,202000
51290,5,3,1,202000
52523,20,1,3,202000
51850,2,2,0,201909
50516,2404,275,1753,201909
53133,17,8,6,201907
51815,242,121,15,201907
51200,61,3,45,201911
52940,5,0,1,201908
51100,119,38,59,201907
50970,630,440,63,201908
50510,26,3,1,201910
51840,20,2,5,201910
51180,11,6,2,201909
50440,3,3,0,201908
52695,9,1,6,201908
52320,143,101,31,201907
52270,12,7,4,202000
50055,6159,1548,3236,201907
50516,2301,254,1607,201907
50060,373,195,91,201910
51770,22,16,2,201911
51280,89,17,20,201910
50510,20,3,1,201909
50518,10,6,4,201908
50040,12,4,4,201908
50180,3,2,1,201907
50100,4,0,2,201911
52270,4,2,1,201908
51400,25,10,9,201911
50510,26,4,1,202000
52660,3,0,0,201908
50925,17,7,6,201910
50030,3850,898,2198,201909
51870,79,24,42,201908
51130,521,360,85,201910
52660,6,4,1,201911
52660,5,2,0,202000
51910,27,18,7,201907
51030,1,0,1,201909
50231,6,0,6,201909
50730,98,57,35,201907
50700,7,5,2,201907
52480,6,6,0,202000
