inPortNo,numVisit,numVisitCargo,numVisitTanker,period
52440,2,1,0,202006
52235,7,4,2,202006
51941,51,22,23,202002
52560,1,0,0,202005
51890,114,51,14,202003
50210,10,3,4,202004
51180,15,7,3,202002
50971,391,261,81,202001
50140,181,66,78,202001
50450,75,38,27,202004
51770,26,16,2,202004
50517,28,7,5,202004
52523,1,0,0,202006
52240,61,38,14,202004
50340,71,29,17,202005
52040,16,4,8,202006
50060,316,127,52,202004
52065,77,32,21,202004
50925,22,9,10,202005
51120,2,0,0,202003
50935,419,176,204,202006
51820,38,19,4,202001
52695,13,1,3,202001
51350,1,1,0,202004
50140,197,86,80,202003
52220,13,6,7,202004
52560,3,2,0,202004
52760,18,1,1,202005
51070,4,2,1,202006
51780,2,0,0,202001
50652,2,0,0,202004
50925,36,18,11,202002
50340,80,34,20,202002
50210,12,5,2,202005
52090,4,2,2,202005
51200,73,5,55,202001
52510,18,7,5,202003
51504,28,5,7,202002
50210,11,1,5,202003
51865,9,7,1,202006
53115,37,30,2,202005
52270,10,5,4,202003
50070,6,5,1,202004
53050,2,0,0,202006
51820,39,16,1,202006
50610,13,2,0,202005
50440,2,0,1,202005
51860,4,3,0,202004
51890,101,36,11,202006
50140,125,56,51,202005
51830,96,20,14,202002
50518,17,5,10,202006
51484,2,1,0,202003
51800,3,2,0,202002
50030,5822,1391,3053,202002
51040,88,62,16,202001
52040,5,2,3,202003
50210,14,5,4,202006
52140,3,0,3,202002
50060,251,88,66,202005
50380,152,86,45,202003
53000,2,1,0,202002
50330,2,0,0,202003
50040,25,1,5,202005
51820,40,18,2,202004
52760,5,2,2,202001
51855,19,7,4,202003
50100,4,0,0,202006
51845,197,83,74,202004
50517,27,5,9,202002
52523,20,1,4,202002
51350,1,0,0,202005
52270,5,1,2,202006
52523,8,2,2,202005
52140,3,1,2,202001
51180,10,5,2,202001
52680,6,2,0,202003
52695,12,0,6,202004
50250,12,1,1,202002
50518,10,4,3,202005
53115,41,30,5,202003
50040,19,12,2,202002
51220,100,34,63,202001
53130,8,5,1,202006
52320,135,63,25,202006
52870,5,1,4,202006
52870,11,2,4,202003
51290,1,0,0,202001
53010,25,12,5,202003
51030,2,2,0,202005
53020,38,8,13,202004
52065,73,31,29,202001
52350,20,10,8,202005
51803,49,47,2,202002
53050,11,0,0,202003
51501,6,0,2,202002
52720,64,19,30,202003
52660,5,4,1,202003
51941,60,37,15,202001
52660,6,3,1,202005
50516,3207,438,2261,202003
51260,92,3,26,202004
50930,61,34,21,202003
52220,16,8,5,202003
52230,5,2,3,202001
52320,220,113,45,202002
52240,57,27,15,202005
50790,8,1,4,202003
52235,8,4,3,202005
51400,25,8,15,202002
51260,141,4,37,202003
51840,42,4,11,202001
52140,1,0,1,202003
51330,17,0,15,202002
51803,33,30,1,202001
50045,6,1,1,202005
51890,113,34,16,202005
50450,48,19,20,202006
53050,9,3,2,202005
52235,11,3,1,202001
51860,7,2,3,202002
51850,7,1,1,202003
52440,4,1,0,202003
51845,283,99,115,202001
52320,176,67,38,202005
53130,9,6,2,202004
50971,301,190,57,202006
50100,1,0,0,202002
50730,87,51,30,202002
52940,17,9,4,202002
50070,9,2,1,202003
50805,44,19,19,202002
51502,5,0,0,202005
50040,22,3,1,202006
51340,2,1,0,202005
50060,535,139,216,202002
51920,19,9,8,202004
50785,79,8,68,202006
50441,22,8,9,202002
50045,15,2,3,202003
52940,11,5,1,202003
50516,3329,337,1923,202005
51220,81,20,60,202006
51865,13,10,3,202004
50935,751,225,231,202003
50231,8,0,7,202002
51830,65,16,5,202004
52760,10,5,1,202004
50250,4,3,0,202001
50510,11,0,1,202005
53100,10,1,2,202001
52940,8,5,0,202005
50231,14,0,11,202001
52297,8,0,7,202006
50785,122,17,101,202001
51030,4,3,1,202003
50040,23,3,5,202003
50380,139,79,45,202004
51770,24,19,1,202002
50600,5,1,1,202006
51840,22,1,3,202003
50045,5,0,1,202006
51865,9,9,0,202003
50180,7,0,1,202005
50925,46,23,10,202001
52560,3,3,0,202001
51020,3,2,0,202005
51400,13,6,5,202005
50730,75,48,20,202005
51855,21,6,4,202002
53000,1,1,0,202004
50932,28,12,14,202006
52510,22,6,6,202004
52140,2,0,2,202004
50450,67,21,31,202002
52695,12,0,3,202002
50100,1,0,1,202004
51120,2,1,0,202002
50932,52,23,12,202001
51504,16,5,3,202005
51320,14,2,7,202001
51865,17,11,0,202001
51910,30,18,9,202001
51280,84,20,13,202003
51500,8,2,0,202002
51815,178,129,28,202001
52240,57,36,12,202003
50650,12,6,2,202004
51220,91,27,60,202002
51180,16,4,2,202003
51320,9,1,3,202005
50516,3348,471,2312,202001
51070,6,3,3,202001
51941,49,29,18,202004
52220,17,8,7,202002
51920,20,9,6,202002
50730,65,48,16,202006
50510,4,1,3,202006
50045,9,3,3,202001
52320,167,92,55,202001
51010,14,5,5,202005
51020,3,3,0,202004
50935,573,197,192,202002
50730,104,75,19,202004
51502,3,0,1,202003
50440,2,0,0,202006
50040,10,1,5,202001
51100,120,38,54,202005
51860,5,0,2,202005
50935,466,210,200,202001
51400,23,7,15,202001
50045,5,1,2,202002
50340,65,31,14,202003
52297,7,1,5,202001
50380,125,69,46,202006
52320,194,81,44,202004
50932,20,12,4,202004
50030,3698,829,2475,202004
50060,406,118,133,202001
51320,13,3,8,202002
53010,16,8,5,202006
51803,14,14,0,202006
50231,8,0,6,202005
51855,17,3,6,202001
51865,19,12,1,202002
52560,2,1,0,202002
51502,9,0,0,202006
51205,3,2,1,202002
51870,65,22,29,202004
50700,8,2,6,202002
50517,33,12,5,202003
51770,32,25,2,202001
51180,9,4,2,202004
51504,15,1,6,202006
53020,34,9,11,202006
50350,137,35,40,202003
51254,8,5,0,202001
52270,7,2,2,202004
52760,2,1,0,202006
52680,4,4,0,202002
51830,55,14,3,202005
51502,2,0,0,202004
51810,45,42,0,202003
50785,94,18,72,202004
53133,13,6,5,202002
51254,5,5,0,202006
50932,35,20,9,202002
52270,14,7,3,202005
52695,11,0,6,202005
52040,15,4,8,202001
51280,108,43,18,202001
52230,8,4,4,202003
52680,4,3,1,202001
51254,7,5,1,202004
50785,129,21,100,202002
50300,101,37,42,202006
50450,48,22,16,202005
53133,19,7,9,202003
51340,10,2,0,202003
51501,8,0,0,202006
52090,9,3,6,202002
51020,1,0,0,202001
51400,16,8,4,202006
50932,26,12,12,202005
51920,26,13,9,202001
50700,6,4,2,202006
53130,17,5,3,202003
50610,5,1,0,202006
52720,45,11,22,202006
50140,157,66,57,202004
51770,22,15,2,202005
50300,111,39,48,202005
52260,43,6,27,202005
51840,17,2,5,202006
51330,8,0,5,202006
51320,8,1,3,202006
52440,3,1,0,202004
51130,532,352,108,202005
52297,10,0,8,202005
50790,6,1,3,202005
50380,139,70,49,202001
50250,7,1,1,202004
51330,14,1,12,202004
50805,42,20,16,202003
51501,40,2,0,202004
50970,1783,439,97,202002
50971,415,289,63,202003
53133,13,5,6,202006
52720,54,13,30,202002
50650,7,4,2,202001
52660,7,3,1,202006
53010,22,8,6,202002
50510,20,1,2,202004
51290,1,1,0,202006
53020,65,18,11,202003
50700,11,5,5,202004
53133,19,7,10,202004
52660,13,6,0,202004
50930,56,33,16,202002
50250,3,2,0,202006
51845,176,77,62,202005
51200,55,5,38,202005
51910,26,16,6,202004
50650,11,3,2,202005
51910,18,12,5,202002
50925,25,9,14,202006
51070,9,3,3,202002
52235,9,4,3,202003
53133,23,10,9,202005
50730,84,62,17,202003
50925,38,19,12,202003
51855,16,7,4,202006
53115,35,30,2,202006
52090,7,1,6,202006
50120,11,3,2,202002
50971,387,256,74,202002
51260,87,1,32,202005
51320,16,2,10,202004
51855,14,3,6,202005
50100,2,2,0,202003
50935,455,171,199,202004
50441,24,6,12,202006
52523,14,3,4,202003
51330,11,1,0,202005
51350,5,0,3,202002
51220,78,18,58,202005
52270,10,2,5,202002
50440,1,0,0,202001
51280,83,24,14,202002
52680,9,2,2,202005
51020,4,2,0,202006
51180,8,3,1,202005
51220,89,19,66,202003
51803,36,35,0,202003
53020,66,11,15,202002
51803,32,30,2,202005
51855,13,5,3,202004
50070,4,3,0,202001
51840,8,1,6,202005
51484,8,2,2,202001
50805,37,17,15,202001
51502,4,0,0,202001
51120,1,1,0,202001
50518,18,11,4,202002
52230,8,3,5,202006
51330,8,0,8,202001
50440,1,0,1,202002
50180,5,1,1,202002
50441,42,27,7,202003
50300,118,49,49,202004
52090,9,4,5,202004
51840,37,3,13,202002
51504,30,8,3,202001
51320,10,2,8,202003
52660,5,4,1,202001
51501,7,0,2,202001
50516,3705,238,1849,202006
52065,84,26,29,202003
52065,63,26,28,202006
50790,9,1,5,202004
50790,11,1,6,202006
50140,113,40,53,202006
51820,43,12,6,202003
51501,5,2,1,202003
51040,100,72,21,202004
51205,11,4,3,202001
52440,6,2,3,202005
51030,3,2,0,202006
50518,13,8,5,202004
51290,1,0,0,202004
52260,36,5,21,202002
51260,81,2,24,202006
51504,21,5,3,202004
50805,38,18,11,202004
50650,3,2,1,202006
51870,46,13,23,202006
51040,74,54,16,202005
50971,429,293,82,202004
51910,24,17,3,202006
53020,72,14,9,202001
51780,1,0,0,202004
52220,10,4,5,202005
50610,4,1,2,202002
52220,11,6,3,202006
52320,224,82,37,202003
51830,86,27,7,202006
52760,10,5,1,202002
50790,16,4,8,202001
51870,72,27,21,202002
51820,44,14,10,202002
53115,33,26,5,202004
50340,90,34,13,202006
51890,94,37,14,202001
51040,83,64,14,202006
50610,5,0,0,202001
52295,10,2,7,202003
51920,17,7,8,202003
52680,4,1,1,202006
50055,6172,1279,3368,202005
51130,586,385,104,202004
51941,44,29,12,202006
51941,60,38,17,202003
51020,7,2,1,202002
51501,1,0,0,202005
50300,139,52,48,202002
51830,74,17,11,202003
52040,11,3,6,202002
52510,16,7,8,202005
51484,1,0,0,202004
51254,6,5,1,202002
50030,3733,805,2486,202005
52720,92,15,25,202005
50518,14,6,6,202003
52295,9,3,6,202002
52523,8,0,2,202004
52260,41,6,31,202006
50030,5497,1229,3509,202003
50030,3527,726,2493,202006
52260,36,10,24,202004
51200,90,4,48,202003
50700,9,4,3,202001
51280,58,19,10,202004
52480,3,2,0,202005
52760,3,1,0,202003
52090,7,3,4,202003
51870,92,32,38,202001
50930,32,13,14,202004
51070,10,1,6,202005
53000,1,1,0,202006
50970,937,333,85,202006
51830,80,17,9,202001
50060,335,94,113,202006
51205,13,6,5,202003
51850,7,2,0,202005
52940,8,2,2,202001
50120,6,1,2,202006
52065,72,35,28,202002
51100,105,23,61,202001
51130,550,350,93,202002
51010,26,15,8,202003
50231,10,0,7,202004
50930,67,33,19,202001
53050,5,1,0,202004
50120,13,6,2,202001
51200,78,3,33,202006
51770,15,7,2,202006
51205,3,0,3,202004
51500,3,1,0,202005
50030,4884,1363,2813,202001
52870,13,0,3,202001
52560,4,1,2,202003
52523,17,2,1,202001
52560,1,0,0,202006
52940,9,4,3,202006
51810,43,40,1,202004
51800,6,4,0,202006
51484,3,0,0,202006
52510,11,3,3,202006
50700,13,5,8,202003
50517,21,6,5,202006
50210,10,4,5,202002
52240,40,15,15,202002
50250,7,2,3,202003
50930,41,19,20,202005
50610,2,2,0,202003
51850,4,3,0,202004
50450,61,27,25,202003
52220,16,6,4,202001
53010,38,16,10,202001
51030,2,2,0,202004
51920,13,7,6,202005
51010,18,9,7,202006
50330,1,0,0,202005
51845,247,81,106,202002
50300,137,52,57,202003
51220,108,26,80,202004
50330,5,0,0,202006
51850,6,4,1,202001
51770,27,18,0,202003
50935,399,167,208,202005
51810,39,38,0,202002
52140,1,0,1,202006
52350,17,6,10,202003
51890,111,50,12,202002
50650,10,7,1,202003
51860,2,2,0,202003
53133,15,6,7,202001
50516,2750,343,2008,202004
50380,131,69,54,202005
50600,10,8,0,202002
51330,18,0,18,202003
50516,3294,425,2191,202002
52260,35,3,22,202001
50231,12,0,7,202003
52230,4,2,2,202005
53115,28,19,3,202001
50971,390,275,69,202005
51130,573,388,83,202001
51100,125,34,69,202003
51200,58,3,43,202004
51350,9,1,4,202003
52065,58,20,25,202005
50120,4,2,1,202005
50970,653,431,99,202001
52260,37,5,26,202003
52295,12,5,5,202006
50350,88,27,23,202005
52350,21,14,6,202004
51020,9,8,1,202003
51030,1,0,1,202002
50970,1023,331,91,202005
51845,135,42,56,202006
53130,8,6,1,202005
52235,9,5,3,202004
51280,60,25,11,202005
52695,13,0,3,202003
50441,29,11,14,202005
51800,7,2,0,202004
51500,8,5,0,202001
50785,114,19,88,202003
51920,11,10,0,202006
53000,5,3,0,202001
52297,4,0,4,202004
53050,18,3,0,202002
52295,9,1,3,202004
51010,18,5,7,202001
53100,14,4,3,202003
50517,18,6,6,202005
51500,6,1,0,202004
51780,1,0,0,202003
50055,7710,1719,4752,202003
50100,5,1,0,202005
53010,22,16,2,202004
51910,28,9,11,202005
51500,6,0,0,202006
52440,2,1,1,202002
50055,8019,1775,4275,202002
51400,21,9,10,202003
50045,8,0,1,202004
51865,16,10,5,202005
51815,512,37,13,202006
51254,7,6,1,202003
51070,8,4,3,202004
52870,7,1,4,202002
52235,7,2,1,202002
51340,2,0,0,202004
51260,146,2,49,202002
51280,50,17,11,202006
52720,50,11,26,202001
51340,5,2,1,202002
51820,30,14,0,202005
50518,19,9,1,202001
50120,8,4,0,202004
50070,5,2,2,202005
51350,3,2,1,202001
50650,9,6,0,202002
50930,41,24,16,202006
51340,2,2,0,202006
50970,932,436,103,202004
51340,5,4,0,202001
52480,1,1,0,202006
50055,7225,1848,4025,202001
51845,238,84,94,202003
50600,14,9,2,202003
51504,22,6,7,202003
51800,3,1,0,202005
50070,8,2,1,202002
50350,106,46,26,202002
51870,87,35,30,202003
52660,6,3,0,202002
50730,113,73,32,202001
52720,81,17,37,202004
53020,38,9,13,202005
53100,10,2,3,202002
51100,113,48,43,202004
51350,2,1,0,202006
53010,16,9,4,202005
52480,1,1,0,202003
52240,54,25,15,202001
