inPortNo,portTimeTotal,portTimeTotalCargo,portTimeTotalTanker,period
51030,1890763,961,0,201904
51030,2400468,0,0,201905
51030,1814126,470,0,201906
51040,17393587,8067226,5277196,201900
50060,24723578,10486253,8237378,201904
50060,33138038,9524681,17507402,201905
50060,26262000,9057730,13175167,201906
50070,234358,234358,0,201900
51180,1350031,772432,0,201902
51180,3736913,1185948,56467,201903
51180,2856543,1934032,0,201904
51180,3346936,1621112,203489,201905
50350,15963212,1829542,5730414,201901
50350,12114443,7655,5481198,201902
50350,15026963,3869,5753058,201903
50350,13337132,110716,6335668,201904
51350,1566532,0,60187,201903
51350,217623,0,25157,201904
51350,8061,0,8061,201905
51350,53884,0,53884,201906
50600,381125,247025,0,201900
50600,1173153,854367,0,201901
50600,679696,326898,0,201902
50600,1066229,203221,629,201903
50935,149135096,67347949,47945299,201903
50935,131408374,50639175,46670412,201904
50935,132806144,59740785,44864004,201905
50935,120112620,40554076,43754596,201906
51800,975589,276972,0,201902
51800,645671,489070,0,201903
51800,1917583,1917583,0,201904
51800,1794436,398182,0,201905
51320,913272,670704,191755,201903
51320,1074454,695427,379027,201904
51320,533037,15574,517463,201905
51320,292128,225059,67069,201906
51330,5542,0,5542,201900
51330,622409,1811,44325,201901
51330,19812,5469,14343,201902
51330,186000,0,180214,201903
51865,2010006,1335900,674106,201905
51865,2483721,2004823,0,201906
51870,16614511,8135327,7537070,201900
51870,19949016,10022382,7197795,201901
51800,194458,194458,0,201906
51803,14610454,13510282,540524,201900
51803,35326975,34310472,325980,201901
51803,32473985,31352714,419821,201902
51845,97155766,33081483,39610026,201906
51850,1034875,1021557,5349,201900
51850,472659,455019,0,201901
51850,17100,0,12059,201902
52440,1130741,966158,164583,201906
52480,276734,111551,0,201901
52480,26185,26185,0,201903
52510,5391423,224101,557746,201900
52510,7741781,0,136525,201901
52510,5186397,583901,177764,201902
52510,4569746,759396,490303,201903
52510,4394734,805117,459101,201904
53115,14718963,12351030,645742,201904
53115,12738639,10898361,424929,201905
53115,11879538,10822125,245690,201906
53130,4232742,467142,474155,201900
52240,38103130,36611714,467170,201905
52240,38530348,34030698,1441865,201906
52260,6597492,307159,4780307,201900
52260,10364750,1071211,7494431,201901
52560,18747,18747,0,201904
52560,16641,0,16641,201906
52660,85249,0,0,201900
52660,27054,7072,0,201901
noPort,1294549224,692681980,253762293,201903
noPort,1328866401,645091798,259276162,201904
noPort,1554963615,754488316,316194207,201905
noPort,1418508119,676636755,292997508,201906
52695,2753115,0,276623,201902
52695,3302029,0,724829,201903
52695,2573964,0,316898,201904
52695,1691784,0,341198,201905
50045,1120,1120,0,201903
50045,1101,512,0,201904
50045,2161,180,0,201905
50045,4748,2949,0,201906
50140,35462253,12901897,18176419,201900
50140,35433045,15044743,16139759,201901
50140,50970618,27207561,19411122,201902
50140,50714674,23693662,23014588,201903
50380,34637673,16361125,10898616,201906
50440,8658,899,7759,201900
50440,881,190,691,201901
50440,31,0,0,201902
50210,2458011,839177,1618834,201902
50210,1929695,11340,1472716,201903
50210,1563921,214809,665473,201904
50210,840524,604771,235753,201905
50060,23359840,7639607,5999420,201900
50060,21910228,8896259,4897445,201901
50060,20052295,12505065,3773787,201902
50060,29857326,14457072,7001459,201903
50450,14700969,6461954,7966746,201906
50510,721637,71462,650175,201900
50510,432820,214486,0,201901
50510,942329,428983,79642,201902
50300,34500734,12354768,13832315,201902
50300,34475121,8015609,15203738,201903
50300,39416063,13259835,14296793,201904
50300,40886272,13120714,16999233,201905
50650,2344040,488674,500685,201906
50652,0,0,0,201900
50652,0,0,0,201901
50700,1848214,0,1506213,201900
50805,8650598,4311562,1714499,201906
50925,277837,277119,546,201900
50925,6130,1689,388,201901
50925,1969,56,765,201902
50700,3719180,1218283,2500897,201905
50700,3262729,1182035,2080694,201906
50730,23332820,7059605,15160857,201900
50730,17856516,5873607,11290293,201901
51020,266453,38218,228235,201902
51020,503876,12597,0,201903
51020,2601709,30,571712,201904
51020,1561544,0,1080024,201905
50030,535160664,104139158,331413199,201905
50030,481315598,106584119,292135364,201906
50040,240,0,240,201900
50040,336081,63551,272530,201901
51180,4079729,2118905,0,201906
51200,13307643,0,12807782,201900
51200,10032436,74439,9603656,201901
51200,9436942,14589,9330592,201902
50250,320647,320647,0,201905
50250,75605,0,0,201906
50300,28473538,9824974,12086024,201900
50300,27325549,8555264,11578694,201901
51810,16633983,16170642,463341,201904
51810,19214831,18312776,632326,201905
51810,12513518,12513518,0,201906
51815,110579572,86102766,10387969,201900
50610,45069,0,0,201905
50610,41691,30891,0,201906
50650,527738,118788,69482,201900
50650,342415,0,219961,201901
51830,2965069,120277,1314339,201904
51830,5035114,354875,296284,201905
51830,8585592,124973,761490,201906
51840,71577,0,66987,201900
50970,0,0,0,
50970,157068285,89728168,26805718,201900
50970,183331246,109454879,30542022,201901
50970,167068129,93743628,28644104,201902
51070,127698,27955,12449,201902
51070,1170156,401203,2421,201903
51070,74481,52383,9940,201904
51070,109417,53106,51661,201905
52220,1158650,621672,441767,201902
52220,1003779,838738,163720,201903
52220,1200812,607061,249684,201904
52220,729836,403922,323865,201905
51200,11429029,133302,11184320,201903
51200,12950939,17794,12880964,201904
51200,13585739,17041,12783218,201905
51200,11269719,67394,11103851,201906
52295,5391107,5114301,276806,201905
52295,5245187,5106034,139153,201906
52297,120805,0,120805,201900
52297,120290,0,120290,201901
51340,359197,314232,44965,201901
51340,715593,715593,0,201902
51340,662765,554960,74520,201903
51340,711280,653650,57630,201904
53050,1744050,0,12826,201906
53100,1018474,932323,0,201900
53100,65444,25184,902,201901
53100,231850,19513,201,201902
51770,11665617,10204646,1293203,201904
51770,18711275,16603059,1309171,201905
51770,11402306,10791953,469450,201906
51780,0,0,0,201902
51860,760,449,232,201905
51860,778,0,778,201906
51865,0,0,0,
51865,382491,363229,19262,201900
53130,2195505,876192,146925,201905
53130,3921114,2273484,131929,201906
53133,4752911,1622294,155796,201900
53133,5058170,1538731,631284,201901
51941,10341123,3948041,4219589,201903
51941,14547258,4513188,8011972,201904
51941,17715980,7687882,9657315,201905
51941,13888786,6050346,7206479,201906
52270,1191578,1020043,87513,201903
52270,1971963,1941424,25623,201904
52270,250198,211753,11059,201905
52270,771330,529557,3000,201906
52523,1344088,0,173618,201902
52523,922435,0,62285,201903
52523,1561857,0,55648,201904
52523,1189619,0,41581,201905
52870,1777518,0,278901,201906
52940,647041,625302,0,201900
52940,639753,458684,32961,201901
52940,438327,298697,0,201902
53100,1216526,480890,50637,201903
53100,1263919,390779,19071,201904
53100,816957,426701,0,201905
53100,351560,268951,0,201906
51815,123217989,100591059,8015021,201901
51815,136973614,120095611,4126506,201902
51815,181012234,156144784,8852693,201903
51815,118722112,98511901,8543732,201904
51815,128006908,114318739,5179160,201905
50040,2109897,0,40422,201906
50045,0,0,0,201900
50045,522,0,522,201901
50045,18538,0,0,201902
52220,1601640,774321,371499,201906
52230,2455260,2455260,0,201900
52230,3294736,3287175,7561,201901
52230,3139820,3104714,35106,201902
50231,2615912,180,2615552,201903
50231,3329394,0,2820732,201904
50231,2449595,0,2211725,201905
50231,2678287,0,2678287,201906
50250,1888,0,0,201900
52230,4874338,4851534,22804,201903
52230,1943367,1639855,0,201904
52230,2176047,1860575,80838,201905
52230,6957512,6735617,140154,201906
50971,34858329,22617793,4542938,201904
50971,45649529,29951360,7592834,201905
50971,62001268,44218797,9623621,201906
51010,6638410,1523599,2223275,201900
51010,10036885,2555722,1067748,201905
51010,9536524,2744518,1127172,201906
51020,14161,14161,0,201900
51020,9598,9598,0,201901
50180,10619,7278,3341,201905
50180,67281,0,8510,201906
50210,1257892,237332,1020560,201900
50210,1545353,524572,750774,201901
50450,20351424,10305215,5423304,201902
50450,20618802,11778116,7037806,201903
50450,17630450,10447837,5344577,201904
50450,18044318,9008912,7311709,201905
50785,48500473,14815745,29999716,201900
50785,37108158,8862607,23010399,201901
50785,46707377,10954165,33149533,201902
50785,31381458,8492775,19596207,201903
50930,9104,2758,5235,201905
50930,463001,333832,125246,201906
50932,1551,188,471,201900
50932,3415,1177,218,201901
51400,9873023,4272201,1337791,201900
51400,14638942,4349730,957482,201901
51400,8580900,1206743,1723352,201902
51400,11016701,2466618,1464739,201903
51502,739122,0,301688,201906
51504,3635589,34297,190985,201900
51504,3838491,37459,2398752,201901
51504,4808419,31799,1985320,201902
51254,767356,647062,120294,201906
51260,8685886,0,4399511,201900
51260,11132095,7385,4515837,201901
51260,9074966,161135,3749431,201902
51855,26763,670,24866,201900
51855,109513,9819,6082,201901
51855,73487,19482,9852,201902
51855,100335,4192,36993,201903
51260,9396142,163927,4206203,201903
51260,8469130,0,4700899,201904
51260,13619084,38218,5928945,201905
51260,10373589,36341,4369680,201906
52090,408314,299203,109111,201906
52140,112968,112968,0,201900
52140,0,0,0,201901
52140,48723,0,48723,201902
52295,10577350,10292053,285297,201900
52295,14187936,13885492,27722,201901
52295,4105037,4105037,0,201902
52295,3908816,2751712,240133,201903
52295,7019374,6161036,125073,201904
51810,10976472,10960701,0,201900
51810,18576662,18474965,359,201901
51810,11734356,11733553,443,201902
51810,19473942,18553963,535693,201903
52720,16528667,5020953,9567601,201903
52720,18899672,4847771,10949120,201904
52720,13600608,3637110,7829598,201905
52720,12944802,2917860,7247932,201906
51815,112637115,92894254,6210710,201906
51820,8050042,170411,839508,201900
51820,9752927,594255,3870,201901
51820,5386075,491820,68317,201902
53010,4285686,3323983,121754,201900
53010,2917922,2397613,0,201901
53010,2188108,1139538,13238,201902
53010,3950794,3187300,42124,201903
50785,26311229,5420836,17609145,201904
50785,29203919,9070260,17637841,201905
50785,22298587,4676936,15393952,201906
50790,4382,0,4382,201900
50932,4349,180,919,201902
50932,1375,726,0,201903
50932,4625,824,572,201904
50932,791,101,690,201905
51040,12850560,7416408,2810994,201905
51040,12991270,7053528,1811605,201906
51070,34951,3853,0,201900
51070,17999,7409,4109,201901
51100,40233374,10045895,16567188,201903
51100,37742676,11314201,12354994,201904
51100,43761224,12757396,14265257,201905
51100,43940431,14611617,12650589,201906
51504,5729892,47138,2028322,201903
51504,4714268,34350,2417515,201904
51504,5690433,23998,2487628,201905
51504,6091611,80181,2661010,201906
51840,347769,0,300643,201905
51840,611353,120,484660,201906
51845,70511349,25057422,34669857,201900
51845,78580995,32733551,35293701,201901
51870,23768164,13460074,8273964,201902
51870,35216568,25737906,8506299,201903
51870,27357827,15960324,8320176,201904
51870,40745428,17229149,11397829,201905
52090,134243,121491,12752,201902
52090,248488,220344,28144,201903
52090,901236,274568,107083,201904
52090,820176,351050,66389,201905
52760,4229,0,4229,201905
52760,7348,7348,0,201906
52870,1837806,340282,4497,201900
52870,1473680,3,165023,201901
53020,11159975,4050195,2933021,201905
53020,7660074,865072,1539374,201906
53050,40842,4221,13773,201900
53050,88636,84874,0,201901
50730,20150536,10063448,8157266,201906
50740,0,0,0,201901
50740,0,0,0,201902
50740,0,0,0,201903
50930,81259,73911,1060,201900
50930,18929,7584,2647,201901
50930,12003,4157,2772,201902
50930,10991,7530,0,201903
50930,23963,5944,6862,201904
51220,34770030,8288285,21112281,201905
51220,41442527,13433864,23336621,201906
51254,5021946,3655630,240401,201900
51254,3752690,3640105,112585,201901
51290,550436,0,0,201906
51320,14875,3255,11620,201900
51320,676510,675986,524,201901
51320,1039967,1001874,20,201902
51820,9499885,784680,115689,201903
51820,9833131,954994,161202,201904
51820,7030563,763525,81123,201905
51820,6354071,780091,1735677,201906
51840,116174,2083,106197,201901
51840,362064,931,338704,201902
51840,253252,920,248880,201903
51840,225045,0,215854,201904
52140,44573,0,44573,201903
52140,484956,484956,0,201905
52220,583681,241588,332104,201900
52220,467070,361042,105267,201901
50970,194236137,111234380,23456324,201903
50970,195246247,109781684,26662467,201904
50970,179496583,103047990,26205464,201905
50970,188042282,115657740,27790712,201906
52297,270105,0,270105,201902
52297,442010,6930,435080,201903
52297,365349,0,349026,201904
52297,555962,0,555962,201905
51130,110479973,61892712,25893893,201905
51130,93907998,52158376,21718074,201906
51180,2772999,2446364,0,201900
51180,1794965,1180470,0,201901
52940,316069,223666,0,201903
52940,155478,86605,50502,201904
52940,115107,0,51516,201905
52940,364363,248808,79420,201906
51501,10757,70,1110,201901
51501,3489,3429,0,201902
51501,1849,1849,0,201903
51501,27382,5238,0,201904
53050,39622,0,0,201902
53050,17228,2661,3381,201903
53050,25719,0,0,201904
53050,154995,0,30148,201905
51770,14804913,13529777,853938,201900
51770,14283499,11721293,1371705,201901
51770,14773673,12379466,1585346,201902
51770,11421805,10381395,911554,201903
51920,1416232,925226,414065,201902
51920,2677274,912536,1497292,201903
51920,1610891,795825,635966,201904
51920,539666,528971,5815,201905
50055,797981477,218633351,319404024,201903
50055,808278091,204916359,328035835,201904
50055,785961522,217925962,324553340,201905
50055,731630269,211547416,298636280,201906
52040,161299,9795,140531,201900
52040,138473,1881,133362,201901
52040,2160,2160,0,201902
52040,19513,1620,2450,201903
52523,1670228,0,0,201906
52560,1615,1615,0,201900
52560,0,0,0,201901
52560,2522,2522,0,201903
53000,97562,97562,0,201900
53000,0,0,0,201901
53000,164045,164045,0,201905
53000,53554,53554,0,201906
50120,79468,33321,18908,201903
50120,76608,12900,9359,201904
50120,125373,94153,21563,201905
50120,139675,74557,10990,201906
50340,20702529,279447,343256,201900
50340,26091179,93610,782716,201901
50340,19088304,111738,781276,201902
50340,17676521,120735,237150,201903
50210,2799094,2039642,705992,201906
50231,1307653,0,1307653,201900
50231,3255438,3240,3140546,201901
50231,2487104,27870,2124757,201902
50730,12615116,5521928,6801767,201902
50730,13561900,8296331,4630383,201903
50730,20179087,11503080,7367623,201904
50730,16966427,8644698,6612938,201905
50790,28430,18951,9479,201905
50790,75564,0,41544,201906
50805,4933643,1657517,597957,201900
50805,3798760,515521,604968,201901
51010,9242611,2609261,1122495,201901
51010,8877633,2307302,1246516,201902
51010,9679454,4206576,2132348,201903
51010,7708214,2801966,1931770,201904
51290,1432176,0,0,201901
51290,1852312,11176,29555,201902
51290,84867,0,0,201903
51290,18778,10071,0,201904
50805,6592677,3098529,1013672,201902
50805,8021039,3899205,1444208,201903
50805,15345072,9687269,2256090,201904
50805,10486372,6222596,657361,201905
51484,310510,0,263348,201902
51484,245284,0,12420,201903
51484,146171,0,0,201904
51484,335887,0,0,201905
51254,3340355,2137905,0,201902
51254,866012,603763,262249,201903
51254,1481175,1173910,32165,201904
51254,329887,329887,0,201905
50100,0,0,0,201906
50120,46226,27527,18699,201900
50120,262948,250496,12452,201901
50120,163692,137986,13538,201902
51855,41413,14680,7742,201904
51855,104257,38683,58693,201905
51855,74363,10448,25905,201906
51860,130,0,130,201900
51280,6015197,2948019,869239,201904
51280,7258069,4483220,812459,201905
51280,6900755,2156888,936653,201906
51290,2193610,11431,0,201900
52260,8935084,789337,5708881,201902
52260,11943012,1249948,7766706,201903
52260,6035492,922184,4738569,201904
52260,8446229,907009,4934427,201905
52320,40758185,20839190,8313679,201903
52320,38978524,17102870,10153971,201904
52320,45495824,26135829,6900905,201905
52320,31970855,19450314,8963456,201906
52760,739142,0,0,201900
52760,56597,0,0,201901
52760,156453,0,0,201902
52760,209512,0,24486,201903
52760,107817,3499,0,201904
52065,19904257,9470013,7144146,201905
52065,19700106,9533190,7336813,201906
52090,576642,576622,20,201900
52090,231595,231595,0,201901
53010,3620854,3414782,135366,201904
53010,4781164,1023820,2836,201905
53010,1401646,1034831,84610,201906
53020,12146577,3588085,3178120,201900
50441,6593654,3224949,2938925,201905
50441,6969095,2275836,4409015,201906
50450,16932520,6314867,7709168,201900
50450,19111738,11111896,5109920,201901
51870,43171264,24091968,12071603,201906
51890,7900746,4067785,1390595,201900
51890,12574325,4593073,1072903,201901
51890,7217331,2144403,1598247,201902
51890,8349905,3399507,3726555,201903
51890,8663238,4177819,1048563,201904
51890,7375264,2996081,1856459,201905
51890,7151484,2210248,1554847,201906
52240,26292164,22440131,1675059,201901
52240,29462681,26663224,1307661,201902
52240,36887079,32986853,649090,201903
52240,39062033,35237135,312638,201904
50610,80046,0,0,201901
50610,133694,9490,94693,201902
50610,1639,1639,0,201903
50610,94516,1735,0,201904
52695,3577743,0,478900,201906
52720,23821478,8878110,14247577,201900
52720,18425830,6302956,10901605,201901
52720,18720274,6177651,9948651,201902
50700,4982921,0,2812243,201901
50700,4009772,0,2905111,201902
50700,3192391,34381,3158010,201903
50700,3963737,769189,3194344,201904
53130,5722529,1983740,130983,201901
53130,3722758,1085364,78472,201902
53130,4093265,1026220,0,201903
53130,3770993,898370,0,201904
51070,49763,11240,32505,201906
51100,39407643,9115555,12779066,201900
51100,41224440,9393292,17100544,201901
51100,34138119,6362704,13267897,201902
51130,97539121,52264080,26950894,201900
51130,107672460,66326267,20255872,201901
51130,115573544,66289266,25242301,201902
51130,123428045,68055707,33171191,201903
51130,111626318,60567709,29419476,201904
51501,240569,0,0,201905
51501,97139,7216,0,201906
51502,0,0,0,201900
51502,12602,0,12602,201901
52440,1796014,1333673,171865,201901
52440,1035355,832605,202750,201903
52440,19361,0,5840,201904
52440,52927,52927,0,201905
52660,53398,0,5500,201902
52660,0,0,0,201903
52660,40312,0,0,201905
52660,17222,0,0,201906
51780,0,0,0,201904
51780,0,0,0,201906
51800,150052,150052,0,201900
51800,322897,322897,0,201901
50040,82605,54493,6471,201902
50040,352332,212769,139563,201903
50040,379111,379111,0,201904
50040,2107190,716936,1022,201905
50250,183983,6948,11450,201901
50250,308705,301155,0,201902
50250,42878,0,0,201903
50250,722805,618819,0,201904
50516,336632820,18941292,256909539,201900
50516,329458389,22084042,250270911,201901
50516,309651346,18979688,240516608,201902
50516,340422180,18468570,268478052,201903
50517,3523222,179654,2466712,201906
50518,1519168,1371934,147234,201900
50518,2584816,2373310,197336,201901
50518,1488852,983722,503689,201902
51280,3933887,1174203,354636,201900
51280,5447930,1482017,926719,201901
51280,4022622,3317617,626939,201902
51280,3474077,1992477,821307,201903
51400,11210273,3690951,3188706,201904
51400,10697322,1959456,4562835,201905
51400,8548538,1269166,2309084,201906
51484,614168,0,115020,201901
51830,4177780,612329,2138598,201900
51830,5519204,489006,1422872,201901
51830,4622014,145591,834856,201902
51830,7282183,101432,996601,201903
51850,689097,654118,14031,201903
51850,666967,662218,4749,201904
51850,1823121,1822173,948,201905
51850,493614,488904,4710,201906
52235,3767302,2036335,724579,201904
52235,1243745,1060464,0,201905
52235,2578946,1053364,958678,201906
52240,25948429,21703044,1125601,201900
52260,4743237,17731,3963402,201906
52270,208281,91872,0,201900
52270,228197,191483,0,201901
52270,28600,28600,0,201902
53115,13588049,10638283,371939,201900
53115,11400241,10449759,565071,201901
53115,14809431,13252152,743811,201902
53115,22347014,19846340,936600,201903
53133,5091094,773125,499737,201902
53133,4947253,1142688,926405,201903
53133,5153374,1644417,881077,201904
53133,6595751,2859034,763470,201905
52040,364922,7055,357867,201904
52040,193327,14744,178583,201905
52040,1353744,17172,495798,201906
52065,16185716,9429538,4543489,201900
52065,15522979,9995972,4015905,201901
52065,18579660,9366679,8441757,201902
52065,15591846,5696907,8540426,201903
52065,23568217,10842829,10661774,201904
52680,835987,0,835987,201900
52680,11490,11490,0,201901
52680,12060,0,0,201902
52680,12261,0,12261,201903
52680,27208,0,0,201905
52680,51864,0,51864,201906
52695,2838932,0,681951,201900
52695,3039689,180,488878,201901
50070,259541,259541,0,201905
50070,887430,861507,0,201906
50100,0,0,0,201900
50100,54701,0,0,201901
50441,10156307,5915221,3099960,201901
50441,5267497,3291459,95693,201902
50441,6029089,3239334,822654,201903
50441,7673473,2995962,1261463,201904
50516,356842693,28597214,280363536,201904
50516,364597117,23637614,294342405,201905
50516,281370381,13003005,228244104,201906
50517,5402450,2301985,2626654,201900
50650,115183,8464,541,201902
50650,162798,10175,152623,201903
50650,1664477,281785,387678,201904
50650,348658,138961,10079,201905
50971,28889496,16307322,6915925,201900
50971,34408023,22151844,6105836,201901
50971,41366487,27303826,7733594,201902
50971,38229081,23559280,7524361,201903
51120,1070770,1070770,0,201900
51120,65580,65580,0,201901
51120,315338,0,0,201904
51120,176604,0,38877,201906
51340,413743,413743,0,201905
51340,225318,158107,67211,201906
51350,781996,0,0,201900
51350,2068849,0,0,201901
51350,1658717,0,79491,201902
51502,778519,0,0,201902
51502,0,0,0,201903
51502,867642,0,0,201904
51502,674538,0,1321,201905
51910,2842570,1259226,1583344,201904
51910,5310322,3483437,1770220,201905
51910,6520190,4227010,1509204,201906
51920,909287,220411,526403,201900
51920,3663993,1549631,1578887,201901
51920,1749315,479202,1200807,201906
51941,7710613,4001652,2380977,201900
51941,9756647,5637857,3647298,201901
51941,8854136,2114132,5820729,201902
52350,6871512,5788512,769515,201900
52350,8318399,7968907,348592,201901
52350,8313356,7888226,425130,201902
52350,5711495,5022517,499909,201903
52510,3684923,495854,333177,201905
52510,2284895,115510,428166,201906
52523,801668,0,53257,201900
52523,1136149,3600,38140,201901
