inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
53133,1,,0.20000000000000018,202001
51340,1,2.3,,202003
52090,1,,1.0,202002
50518,1,0.7000000000000002,,202001
51820,6,3.899999999999999,1.2000000000000002,202005
50805,3,0.6000000000000005,0.2999999999999998,202005
51910,2,1.2999999999999998,,202002
52350,1,0.09999999999999964,,202003
51260,3,,4.9,202003
51400,2,,1.4,202002
50120,2,1.6000000000000005,1.0,202003
51200,6,,7.1,202005
51845,56,134.5,23.699999999999996,202005
50805,5,14.2,,202003
53010,4,6.1,,202002
50350,2,,0.39999999999999947,202001
51941,9,4.700000000000001,5.8,202005
50055,1006,805.6000000000006,572.6,202004
50380,44,114.4,22.6,202002
50600,1,2.9000000000000004,,202001
50805,2,7.0,,202006
51803,23,109.6,,202004
52870,1,,0.7000000000000002,202004
50935,66,61.29999999999998,70.30000000000001,202003
51830,2,6.6000000000000005,0.6999999999999993,202004
52760,2,0.9000000000000004,0.20000000000000018,202004
50516,441,138.1,752.2000000000004,202001
51920,1,,1.2000000000000002,202002
51941,8,4.600000000000001,,202004
50700,1,,0.2999999999999998,202005
50441,8,3.6999999999999997,5.1,202005
51280,4,0.7000000000000011,1.6999999999999993,202005
51800,1,,,202004
50730,16,14.000000000000004,11.5,202006
50518,3,6.200000000000001,0.5,202004
50450,14,22.5,9.5,202001
53115,7,16.199999999999996,,202002
50517,5,6.800000000000001,5.199999999999999,202005
51010,1,,,202001
53100,2,0.10000000000000009,,202003
50441,7,22.900000000000002,1.6999999999999997,202003
50785,55,20.199999999999996,98.09999999999997,202003
51920,3,0.6000000000000001,1.1999999999999993,202006
52297,1,,0.09999999999999964,202004
50790,1,,0.20000000000000018,202001
51830,5,20.900000000000002,2.3000000000000007,202006
51870,32,71.6,6.600000000000001,202002
52320,28,25.40000000000001,9.4,202003
52760,2,4.5,,202002
50045,1,0.40000000000000036,,202001
52320,32,28.4,7.200000000000002,202001
51320,1,,1.6999999999999997,202001
51870,12,30.2,2.1999999999999993,202006
50100,1,4.1,,202004
50450,18,16.700000000000003,8.7,202002
50517,2,,5.499999999999999,202006
50140,37,73.39999999999999,9.8,202001
50450,18,20.200000000000003,5.500000000000001,202004
50517,2,,3.1000000000000005,202004
50971,33,25.0,7.3000000000000025,202001
51770,8,8.100000000000001,,202004
51260,6,,5.200000000000002,202002
51280,5,7.199999999999999,1.2000000000000002,202006
51340,1,,1.0,202002
52720,4,0.1999999999999993,6.200000000000001,202001
51100,34,26.700000000000003,55.2,202005
50055,974,681.7999999999997,550.0999999999998,202005
51130,153,147.79999999999995,44.0,202004
51941,5,4.4,0.7000000000000002,202003
51941,5,2.1000000000000023,1.2000000000000002,202006
