inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
50250,5,2,1,201901
52270,5,2,1,201901
50250,4,2,0,201902
50970,498,359,68,201904
51810,30,30,0,201906
51200,31,4,26,201902
51504,17,4,5,201902
52523,5,1,2,201901
51260,41,4,16,201903
50210,4,1,2,201904
50340,48,14,9,201903
50785,124,25,90,201903
50700,6,2,3,201904
50932,17,6,4,201901
50740,2,1,0,201903
50510,6,2,4,201903
53050,5,2,1,201903
50740,1,0,0,201901
50971,261,180,57,201905
51870,88,46,34,201906
51941,46,29,11,201901
52695,12,0,5,201906
50516,1340,228,1001,201905
50060,117,59,37,201901
51803,76,68,4,201901
52297,4,0,3,201906
52695,11,2,4,201901
51330,2,1,1,201900
51010,16,10,3,201903
52297,9,2,5,201902
51260,35,0,16,201900
52240,45,36,6,201906
52760,2,1,0,201904
51254,11,6,1,201904
51845,215,120,78,201901
50380,109,58,42,201901
51941,40,26,12,201905
52680,1,0,0,201902
51220,76,21,53,201904
51502,2,0,1,201903
51350,3,0,2,201904
52350,13,9,2,201900
51040,78,52,14,201900
50730,83,37,41,201901
50040,10,2,3,201902
51890,43,21,7,201904
50180,7,2,2,201903
51840,15,3,7,201901
50930,19,8,4,201901
51502,1,0,0,201900
50070,7,6,0,201902
51330,1,0,1,201906
51350,1,0,1,201905
51260,30,3,17,201905
51501,3,1,0,201900
52065,44,24,16,201901
50340,37,14,6,201904
51200,35,6,26,201903
52090,3,1,2,201902
51254,9,6,2,201903
51484,3,0,1,201903
52320,108,66,29,201904
52320,98,69,18,201900
50600,8,3,2,201905
52270,9,6,1,201905
50440,3,1,2,201905
51830,21,5,6,201906
51254,10,8,1,201901
52040,8,2,5,201903
51910,19,9,6,201900
50600,6,3,0,201902
51860,3,1,0,201902
51260,37,2,17,201901
50785,119,17,94,201906
52720,40,13,24,201901
51504,12,3,5,201903
50935,281,123,123,201905
51870,55,21,30,201901
51070,5,2,2,201904
51040,75,48,14,201905
51280,22,4,6,201904
51865,7,6,0,201901
50441,22,10,3,201902
50785,133,23,107,201900
52350,22,14,7,201902
50805,21,6,13,201901
51865,7,6,1,201905
51890,42,23,7,201905
noPort,4934,2770,1158,201902
51260,32,2,20,201906
52440,4,2,1,201901
51860,3,2,1,201904
51130,411,273,97,201902
51815,244,207,17,201904
51100,86,20,47,201900
50610,5,1,2,201902
52695,13,0,2,201902
51780,1,1,0,201904
53020,43,14,12,201900
50300,85,34,38,201903
50350,40,2,15,201903
50730,72,34,32,201902
51340,2,1,1,201906
50932,13,3,5,201900
52350,15,9,4,201903
52523,2,0,1,201900
50516,1332,202,1007,201900
51330,2,1,1,201902
50441,19,11,5,201903
50180,4,3,1,201905
50650,8,2,4,201906
52140,1,1,0,201900
50925,15,6,4,201901
51220,77,22,52,201906
50790,11,3,8,201905
50510,4,3,0,201901
52320,114,81,17,201905
51220,74,18,49,201902
51220,73,25,45,201900
50070,4,3,0,201904
51501,3,2,0,201902
53010,10,5,1,201906
51340,6,3,2,201902
51502,1,0,1,201901
51130,406,277,92,201903
50300,81,35,32,201905
51200,32,4,21,201901
51260,32,0,16,201904
51890,42,21,8,201903
51840,11,1,7,201903
50510,5,2,2,201905
52660,3,1,1,201901
51290,3,2,1,201902
51070,4,3,0,201900
50250,6,3,0,201904
52270,4,1,1,201906
52760,2,0,0,201900
51870,79,43,30,201904
53020,37,7,11,201904
50785,127,18,103,201905
50030,2565,1468,964,201901
51815,265,226,18,201901
51810,36,35,0,201900
51803,72,67,2,201902
53100,3,3,0,201900
noPort,4871,2767,1141,201903
51840,10,0,7,201905
51340,5,2,1,201901
50970,4,1,0,
50330,1,0,0,201904
51920,8,2,4,201903
51830,30,11,8,201900
50055,3068,1684,1020,201903
51770,40,33,5,201902
50805,40,25,10,201905
52140,2,1,1,201905
51340,10,5,2,201903
50441,24,6,6,201904
53010,14,11,0,201901
51865,5,5,0,201904
50440,3,1,2,201900
50060,209,76,102,201905
53130,6,4,0,201903
50805,34,20,9,201904
51020,2,0,1,201905
50970,588,420,95,201901
51500,5,1,1,201902
52295,13,8,2,201902
50070,5,4,0,201903
51340,2,2,0,201905
50516,1248,182,955,201904
52040,6,3,2,201900
50210,8,3,4,201903
50055,2783,1543,944,201906
50517,30,17,5,201905
51010,14,6,5,201904
50441,18,7,7,201906
52350,19,13,6,201901
50932,11,3,4,201904
50971,269,197,50,201902
50120,6,3,3,201900
50935,310,136,140,201901
50441,29,14,11,201901
51130,330,219,77,201906
50652,1,1,0,201901
51180,8,3,0,201900
50971,253,182,56,201903
50930,9,4,1,201903
50340,48,11,9,201900
51501,2,1,0,201903
51290,3,0,0,201903
50805,35,16,14,201903
52560,2,2,0,201904
51030,3,2,0,201906
50300,77,33,33,201901
51504,15,5,3,201906
52560,2,0,0,201901
52240,43,36,4,201904
50250,1,0,0,201903
52240,43,34,3,201902
52510,8,1,3,201900
51180,11,4,2,201903
51501,6,1,1,201901
52510,8,4,2,201904
50650,8,1,3,201901
50600,4,3,0,201900
51800,1,1,0,201901
50140,128,63,50,201903
50925,14,3,6,201904
51820,30,10,2,201905
52320,106,70,22,201903
51320,2,1,1,201906
51120,2,0,1,201906
52560,1,0,1,201906
50120,8,4,3,201902
51100,120,37,61,201906
52260,23,3,15,201906
50450,50,22,25,201905
52230,9,8,1,201901
51350,2,0,2,201906
50440,2,0,1,201902
50450,57,32,19,201901
50300,65,28,25,201904
53010,11,6,1,201905
50700,5,0,4,201900
52940,6,4,1,201901
53100,8,2,2,201904
51920,13,8,4,201901
51070,4,2,1,201905
51830,36,11,10,201901
51180,9,4,0,201904
52090,7,3,3,201904
52235,3,2,0,201905
50740,3,2,1,201902
52040,6,2,4,201904
50030,2315,1266,914,201902
53115,22,18,1,201906
52240,37,28,5,201901
52260,33,11,17,201903
52235,6,5,1,201902
52260,27,6,15,201904
51501,7,1,0,201906
53020,37,11,9,201901
51400,21,8,7,201903
51800,5,3,0,201903
50930,18,9,5,201906
51855,9,4,4,201904
51502,3,0,2,201905
50210,5,1,4,201900
50805,36,15,17,201906
51500,5,2,0,201906
51030,1,0,1,201901
51504,19,5,3,201900
53130,7,4,1,201905
52523,3,0,2,201903
52680,1,0,1,201906
51840,16,2,8,201902
51280,24,9,11,201905
50210,8,2,5,201902
52720,32,9,18,201905
50250,4,4,0,201905
53050,4,0,1,201906
51320,8,4,2,201902
51030,4,2,1,201903
51780,2,0,0,201902
51200,32,3,26,201905
52240,45,37,4,201903
50450,68,31,27,201902
52870,8,1,1,201905
50970,555,390,87,201902
51130,378,264,79,201904
52760,4,0,0,201901
52230,8,5,2,201903
52220,9,5,2,201900
50925,9,3,4,201902
50100,4,1,1,201902
50790,6,1,3,201904
51254,4,3,1,201906
50070,8,6,2,201905
51205,6,2,2,201904
51845,210,102,79,201904
51810,38,36,1,201905
52295,24,18,2,201901
50350,27,2,12,201900
51820,35,12,5,201903
50700,6,3,3,201905
51220,80,21,56,201905
53100,8,4,1,201905
51850,5,1,0,201901
52680,1,1,0,201901
50516,1371,204,1075,201902
51280,24,6,8,201903
51400,19,8,5,201904
50510,5,2,2,201904
52560,1,1,0,201903
51941,35,19,13,201902
53115,28,23,2,201902
51290,4,2,0,201900
50600,8,2,3,201903
51910,20,12,3,201906
50340,39,11,10,201902
53133,13,6,3,201902
50650,11,2,6,201904
52870,9,4,1,201902
52940,4,3,0,201900
50440,2,2,0,201903
51220,88,24,62,201903
51840,15,1,7,201904
53010,15,11,2,201904
50100,5,0,0,201904
51030,1,0,1,201902
51800,9,8,0,201904
51830,24,5,5,201902
52680,3,0,3,201903
53050,5,0,2,201905
51400,20,9,4,201901
52523,3,0,0,201906
50231,7,3,2,201902
51290,2,0,0,201901
