inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
50030,2526,1438,902,201910
52065,52,19,22,201907
53020,34,11,9,201911
51910,24,12,7,201911
50055,2982,1600,1045,202000
50600,10,7,2,201908
52065,48,23,17,201908
51290,1,1,0,201910
50510,5,3,1,201908
52320,116,73,30,202000
50971,232,149,58,201910
51820,31,11,4,201909
53133,16,7,4,201910
50070,9,4,3,201910
51290,4,1,0,201907
50231,6,0,2,201911
52090,4,3,0,201908
51890,47,22,8,201909
51780,2,0,0,202000
51280,29,5,13,201909
50930,17,4,8,201908
50518,25,11,8,202000
50516,1253,185,978,201908
51280,122,87,13,202000
51845,209,78,89,201911
50610,6,2,0,201911
50518,21,8,9,201910
50600,6,5,1,202000
51890,51,21,10,202000
52523,6,1,2,202000
50250,14,8,0,202000
51290,5,3,1,202000
51815,217,181,19,201908
52297,3,0,3,201907
52270,5,3,1,201910
50516,1217,171,954,201909
53133,14,7,5,201907
51020,1,0,0,201909
52350,10,6,4,201908
52040,9,1,4,201907
50932,10,3,3,201909
50932,11,4,3,201910
51800,7,6,0,201907
52760,1,0,0,201907
50231,5,0,2,202000
51100,97,29,50,201907
50971,242,158,58,202000
50300,86,29,33,201910
50700,8,5,2,201911
51815,217,185,18,201911
51130,398,263,83,201911
51040,80,55,15,201910
50045,12,7,2,202000
53115,22,16,2,201907
50600,7,5,1,201909
51780,2,0,0,201910
52320,111,75,26,201907
52695,7,1,5,201908
52270,8,5,2,202000
51870,95,44,35,201911
50730,71,30,31,202000
51910,25,9,10,201910
50517,27,8,9,201911
51254,13,10,1,202000
52510,7,2,3,201907
51020,5,2,1,202000
52440,2,1,0,201909
53010,23,17,3,201907
50450,62,30,26,202000
50805,29,13,11,202000
51910,21,14,4,201909
52040,3,1,2,201909
51860,2,2,0,201909
53130,11,6,0,201910
51500,5,2,0,201907
51200,32,6,21,201907
50517,29,13,10,201908
51803,54,51,2,201909
50045,7,2,1,201908
52680,7,4,0,201911
52523,6,0,3,201909
50100,2,0,0,201910
51020,2,0,1,201910
51130,398,258,90,202000
52320,117,73,30,201911
noPort,3506,1884,936,201908
52040,4,3,1,201910
50231,7,0,4,201907
51130,370,258,77,201910
50030,2411,1441,808,201909
51870,87,31,43,201908
51910,22,14,5,201907
52660,3,2,0,202000
52660,6,4,1,201911
51030,2,0,1,201909
50231,3,0,2,201909
51220,74,20,52,201910
50350,37,7,16,201910
51910,20,12,5,202000
52220,11,5,4,202000
51200,29,3,22,201908
52695,8,0,5,201910
51800,3,1,0,201911
noPort,3601,2007,914,201909
51500,7,2,0,201910
52235,6,3,2,201909
51320,6,2,3,201910
50970,488,355,63,201909
50971,266,182,55,201911
50140,120,58,45,201909
51855,14,4,5,201908
52440,1,1,0,202000
50932,59,36,19,202000
52270,7,3,3,201911
52220,11,3,5,201907
52297,7,2,3,201910
51130,381,269,82,201909
51865,9,7,0,201908
50040,13,3,5,201907
51504,29,11,9,201911
51330,1,0,1,201908
53000,1,1,0,201911
51830,25,10,4,201909
51280,41,25,5,201911
51890,49,22,8,201910
51941,43,21,16,201908
53050,4,0,1,201908
50060,187,79,80,201911
51500,6,2,0,202000
51803,68,66,2,201907
51180,7,4,0,202000
51501,55,42,10,202000
52040,8,4,3,201908
51400,22,7,9,202000
52560,1,0,1,201908
51340,4,2,2,201910
50790,11,2,4,201907
50730,90,47,33,201910
52065,41,22,13,201909
52695,13,0,5,202000
52350,5,3,2,201911
53130,11,6,0,201909
51340,4,2,2,201911
52260,32,14,15,202000
52320,119,78,27,201909
51770,39,34,2,202000
52295,34,30,3,201910
51010,20,6,6,201910
50805,33,12,15,201910
52295,8,6,2,201907
52260,24,6,14,201909
51070,8,6,2,201909
50380,117,58,46,201911
51260,41,0,24,201908
52235,6,3,2,201910
52510,6,2,1,201910
51290,2,2,0,201911
51484,3,0,1,201907
52660,2,0,1,201907
50055,2957,1624,1018,201910
51040,77,55,12,201909
50060,152,77,46,201907
52230,7,5,2,201909
51010,13,4,4,201911
52510,12,5,4,202000
52660,1,1,0,201910
53130,8,4,1,202000
50120,11,7,1,201910
50180,2,1,1,201909
50970,528,366,81,201910
50030,2417,1403,848,201908
52260,20,3,13,201908
50180,1,0,0,201911
50250,5,3,0,201909
52140,1,0,1,202000
50300,85,28,36,201911
52680,8,5,1,202000
52295,9,5,3,201908
51810,40,40,0,202000
50180,4,0,3,201910
51290,3,0,0,201908
51400,17,7,5,201908
51350,3,1,1,201910
51100,99,25,51,201910
51810,44,42,1,201911
52940,5,2,2,202000
51330,1,0,1,201910
51830,37,11,7,201907
51280,24,5,10,201907
51800,6,5,0,201909
51070,9,4,1,201908
50330,1,0,0,201911
52240,51,40,7,201911
51770,52,43,5,201909
52230,6,3,3,201907
51260,43,5,16,202000
50805,39,19,17,201909
50935,389,183,161,202000
51845,194,88,66,201909
50140,117,54,47,201907
51040,76,50,16,201907
52220,9,2,3,201908
51504,17,6,5,201907
51340,6,2,1,201909
50517,29,12,9,201909
50930,18,7,6,201910
50045,7,2,3,201907
52870,3,0,0,201908
52680,2,1,0,201908
noPort,3448,1944,906,201907
noPort,3772,2122,945,201910
52870,3,0,0,201907
50932,17,3,5,201907
51120,3,0,0,201911
50140,125,54,50,201910
50441,27,10,8,201911
53115,29,22,3,201909
52760,7,3,1,202000
51820,23,9,2,202000
51484,4,1,1,201910
51865,7,7,0,201909
50055,3144,1700,1103,201911
52440,1,1,0,201907
50070,7,6,1,201908
52523,6,1,1,201911
52240,47,40,5,201908
51845,209,85,80,202000
51840,15,2,9,201911
53000,3,2,0,201910
51860,6,2,1,201908
52220,7,2,3,201910
51820,34,12,5,201908
50055,2869,1611,970,201908
51254,10,6,3,201911
51910,23,14,6,201908
51920,15,7,6,201911
53130,7,4,0,201907
50040,12,4,3,201911
52295,21,13,6,201911
52480,2,2,0,201911
52870,7,0,1,201911
52270,6,4,1,201909
50060,167,68,68,202000
50380,109,48,52,202000
50925,17,6,5,201907
50210,10,4,1,202000
50516,1597,442,1035,202000
51840,17,3,8,201907
noPort,4297,2521,1010,202000
51770,49,38,4,201908
52240,50,38,7,201907
51803,67,64,3,201908
50790,9,4,5,201909
50440,2,2,0,201907
51200,35,5,24,201909
52510,11,2,3,201911
52760,2,2,0,201910
51820,27,9,4,201907
51030,4,1,1,201910
noPort,4288,2488,1063,201911
51180,10,6,0,201911
50340,40,13,6,201909
50932,28,13,11,201911
50350,109,53,36,202000
53010,21,13,3,201908
50700,11,6,5,201910
53050,11,3,3,202000
51860,4,1,1,201907
50935,278,113,128,201907
51845,217,92,77,201908
51320,6,2,2,201909
51501,5,3,1,201909
52560,1,0,0,201907
51254,6,5,1,201910
52440,3,2,1,201911
51030,2,1,0,201908
51040,87,54,19,201911
53100,4,0,3,201910
51484,3,0,2,201908
51205,6,1,3,201910
50140,123,57,46,201908
51830,37,13,8,202000
52297,7,0,5,202000
52720,39,7,20,201910
50441,21,8,9,201908
50441,16,4,5,201909
51850,12,6,4,201908
51500,3,1,0,201908
50350,35,11,10,201907
51502,4,0,1,201910
51500,6,1,0,201911
51504,38,14,7,202000
51350,1,1,0,202000
50380,123,61,49,201909
51941,39,25,11,201909
51205,7,4,3,201911
52140,2,1,1,201909
51260,47,3,28,201910
51330,5,1,3,202000
53133,17,9,3,201908
51501,2,0,0,201907
52720,38,12,20,201907
51040,78,50,15,202000
52940,4,1,0,201909
51803,54,51,2,201911
51030,4,2,1,202000
52560,1,0,0,201911
51350,6,3,2,201909
52065,49,26,17,202000
50610,4,3,1,201908
52940,8,5,1,201911
51941,50,29,16,201910
51010,22,5,7,201908
50300,85,32,38,201909
51501,4,2,0,201908
53020,35,11,11,201907
51830,32,9,5,201908
51500,2,0,0,201909
51180,7,4,1,201908
50250,7,4,0,201907
52065,55,25,24,201911
50935,412,183,172,201911
51120,1,0,0,201910
51502,1,0,0,201907
52065,44,22,19,201910
53130,9,5,0,201908
50790,11,0,5,201910
50932,15,4,5,201908
51330,3,1,0,201907
50450,58,33,22,201910
52320,129,82,31,201910
51865,9,6,1,201911
51010,21,9,3,201907
52297,6,2,1,201911
50340,59,23,15,201911
50300,79,25,35,201908
50600,9,6,1,201910
51840,16,0,7,201908
52695,7,0,3,201907
50730,81,38,37,201909
50935,305,129,131,201908
52090,4,3,1,201910
52297,6,0,4,201908
53020,32,8,11,201908
51920,16,6,8,201910
51070,6,4,1,201907
52230,7,3,3,202000
50450,69,32,34,201908
50380,110,57,40,201910
50441,22,9,7,202000
51030,2,0,1,201907
51941,49,26,16,202000
52940,6,3,1,201907
51290,3,1,0,201909
50210,7,1,1,201908
51840,28,6,11,202000
50210,8,4,2,201911
51070,13,5,6,202000
50210,11,3,5,201910
51020,3,2,0,201908
51040,84,55,21,201908
51865,8,6,0,201907
51780,1,0,0,201908
50518,19,11,6,201911
50070,4,3,1,202000
51855,17,5,8,201911
51070,12,5,1,201911
53100,7,4,1,202000
51350,5,1,3,201911
51320,7,1,2,202000
50060,189,91,65,201909
50070,6,4,0,201907
52040,5,1,3,202000
51920,13,5,2,201907
52350,12,8,4,201907
52350,15,8,7,201910
51350,3,1,0,201907
50120,15,7,3,201911
50925,9,4,3,201909
50350,106,43,43,201911
53100,5,2,1,201909
51070,12,6,2,201910
52295,21,15,5,202000
53115,29,22,3,201910
52260,25,9,14,201911
52230,5,3,2,201908
50231,6,0,3,201908
50140,144,71,47,202000
51830,33,9,11,201911
51220,81,17,63,201907
51280,23,2,8,201908
50070,4,3,1,201909
50600,6,3,1,201907
51815,239,205,17,201910
52090,6,3,2,201907
53133,17,7,6,202000
51855,15,5,6,201907
50510,3,1,1,201907
51850,2,2,0,201909
50785,156,22,126,201907
50340,37,14,6,201910
51504,22,5,8,201909
51865,5,3,1,202000
51815,237,205,13,201907
51200,34,3,26,201911
52940,3,0,1,201908
52695,7,0,4,201911
52240,51,39,7,201910
50700,11,6,5,201909
51780,1,0,0,201909
51400,25,7,9,201909
51100,107,32,50,201911
50805,30,13,10,201907
51010,18,5,6,202000
50450,65,31,30,201911
50925,13,3,6,201908
52510,8,3,3,201909
52295,23,19,3,201909
51920,15,6,6,201909
51850,11,5,5,202000
50970,496,365,66,201908
51840,13,2,5,201910
50440,2,2,0,201908
51180,8,3,2,201909
50510,5,2,1,201910
50518,19,8,10,201909
53133,16,9,5,201911
51260,40,1,17,201911
50120,8,4,1,201907
50340,52,23,7,201908
52220,9,3,4,201911
53050,2,0,0,201907
50030,2730,1498,1028,201911
51815,236,199,22,201909
51840,9,1,6,201909
50730,90,40,40,201908
52680,1,0,0,201907
51870,72,27,31,201909
50930,71,44,22,202000
51920,13,6,3,202000
52760,3,2,0,201911
52297,6,0,5,201909
50441,21,7,8,201907
51484,6,2,2,202000
51860,6,2,3,202000
51330,1,1,0,201909
50040,17,8,4,201910
50040,11,3,2,201909
52230,13,11,2,201910
52523,3,0,1,201910
50231,4,0,2,201910
52235,6,4,2,201907
50790,9,3,4,201908
52480,1,1,0,201910
50350,31,3,14,201908
51502,9,3,2,202000
50970,485,336,82,202000
50450,64,30,31,201909
51800,5,3,0,201908
52230,4,2,1,201911
51340,3,2,1,201908
50516,1275,192,971,201910
51920,17,8,6,201908
52440,2,1,0,201908
51501,5,1,1,201910
51180,6,5,1,201910
51400,19,5,10,201911
52660,2,0,0,201908
50925,12,5,5,201910
50510,8,3,2,202000
51100,117,35,59,201909
53000,1,0,0,201907
52140,2,1,1,201907
50785,137,22,112,201911
51890,48,22,8,201908
52870,7,1,2,202000
51865,10,7,1,201910
51502,3,0,1,201908
51770,47,38,2,201907
51830,34,12,5,201910
50250,10,7,0,201910
50730,106,50,47,201907
52480,6,6,0,202000
50700,8,4,4,201907
50055,2821,1575,946,201907
50516,1228,164,973,201907
51770,38,35,2,201911
50060,199,86,84,201910
51280,33,10,10,201910
50518,11,7,2,201908
50180,3,2,1,201907
52270,3,1,1,201908
50100,3,0,1,201911
50040,12,4,3,201908
50510,5,2,1,201909
52090,1,0,1,201909
50970,474,345,66,201907
50785,135,20,108,201908
51254,5,4,1,201907
51020,5,4,0,201907
51780,1,0,0,201907
51810,34,33,1,201907
52260,22,5,15,201907
50790,14,3,7,201911
51320,6,2,3,201908
53133,15,6,3,201909
51100,113,33,50,202000
53100,2,1,0,201908
53100,2,1,0,201911
