inPortNo,totalTraffic,totalTrafficCargo,totalTrafficTanker,period
51910,23,14,7,202001
51865,8,7,0,202001
noPort,4097,2304,1119,202006
51400,16,6,6,202006
50055,2848,1480,1080,202006
50517,28,12,5,202001
50340,59,33,12,202001
51205,10,2,6,202005
51070,8,4,2,202003
52235,7,3,2,202006
52440,2,1,0,202006
51770,35,26,3,202005
50140,121,54,47,202004
51350,3,2,1,202001
50120,6,3,0,202004
50070,6,3,2,202005
noPort,3710,2083,947,202004
51320,7,1,3,202006
52440,2,1,0,202004
51845,240,94,91,202003
50055,3139,1703,1107,202001
50600,9,5,2,202003
51504,23,6,7,202003
53050,2,1,0,202004
50930,53,28,17,202001
51800,5,1,0,202005
50070,6,2,1,202002
50805,41,19,16,202003
51501,3,2,0,202004
50730,81,43,30,202001
53020,38,10,10,202005
52720,54,19,23,202004
53100,6,2,1,202002
53020,40,11,6,202001
50971,296,203,63,202004
51910,24,16,3,202006
51780,1,0,0,202004
51200,40,7,26,202006
51770,39,32,2,202006
50120,11,5,2,202001
51500,4,1,0,202005
51205,7,3,3,202004
50510,5,1,1,202004
53010,20,13,3,202002
51290,1,1,0,202006
50932,30,16,9,202003
50700,12,4,5,202004
53020,47,15,7,202003
53133,15,8,3,202004
50450,59,25,26,202001
51860,1,0,0,202001
51800,6,3,0,202003
52295,10,6,3,202001
50040,21,8,4,202004
52870,5,1,1,202005
53050,12,2,0,202001
52220,9,3,6,202005
53010,23,13,5,202001
50450,63,24,34,202003
51010,20,8,6,202006
51920,12,6,5,202005
52220,11,6,4,202001
51030,3,2,0,202004
51850,5,4,0,202004
50330,1,0,0,202005
50340,49,26,15,202004
52297,6,1,3,202002
53130,8,3,1,202001
53000,4,2,0,202003
52940,9,4,2,202004
52680,6,2,0,202004
noPort,4436,2542,1142,202001
51280,46,21,12,202003
51500,7,1,0,202002
50350,83,35,26,202006
52510,11,5,4,202001
50210,11,5,3,202001
50600,10,4,0,202005
53100,3,0,1,202006
50730,74,40,25,202006
50510,4,1,2,202006
52350,12,6,4,202001
50440,1,0,0,202004
52090,4,2,2,202001
52270,7,2,4,202001
52480,1,1,0,202001
50790,16,5,10,202002
51260,43,4,19,202001
50441,28,11,10,202001
51800,5,2,0,202001
50510,8,3,2,202001
53100,6,3,1,202005
51400,23,7,11,202004
50925,22,11,7,202004
51860,4,1,1,202006
52320,114,66,27,202003
51870,91,46,23,202002
51830,52,23,6,202006
52760,10,5,1,202002
50790,12,3,6,202001
51890,54,20,11,202003
50210,10,3,4,202004
51180,9,5,2,202002
51820,30,10,9,202002
52220,10,6,3,202006
50610,4,1,2,202002
51890,50,22,9,202001
50340,73,34,13,202006
53115,21,17,2,202004
50935,447,222,169,202002
50730,80,49,22,202004
51502,4,0,1,202003
50440,2,0,0,202006
50340,54,24,15,202005
52240,63,44,11,202004
52040,11,4,6,202006
50935,450,202,185,202006
51820,25,10,3,202001
51120,1,0,0,202006
52695,11,1,2,202001
51350,1,1,0,202004
50935,422,196,171,202001
51400,22,7,11,202001
50045,6,1,2,202002
50040,14,3,5,202001
50925,28,14,9,202002
51504,30,6,8,202002
51865,11,6,2,202006
52510,11,5,3,202003
51200,39,5,26,202001
50210,11,4,3,202003
51040,80,59,15,202006
52295,8,3,4,202003
50610,4,0,0,202001
51920,12,5,6,202003
52680,6,1,2,202006
52270,7,4,2,202003
53115,26,21,2,202005
50070,4,3,1,202004
53050,2,0,0,202006
50440,2,0,1,202005
50610,6,1,0,202005
51820,34,17,2,202006
51860,3,2,0,202004
50140,135,59,53,202003
51070,5,2,1,202006
52760,9,2,1,202005
52220,12,7,4,202004
51780,2,0,0,202001
52560,2,1,0,202004
50652,2,0,0,202004
50805,21,7,9,202005
52695,8,0,4,202006
51850,5,1,1,202006
52230,8,4,3,202004
50330,1,0,0,202004
50300,95,37,33,202002
52040,10,3,4,202002
51830,49,17,10,202003
52510,16,6,5,202005
51254,5,4,1,202002
51484,2,0,0,202004
53000,2,1,0,202002
50060,145,64,62,202005
50380,109,62,39,202003
50330,1,0,0,202003
51820,28,13,2,202004
50040,12,3,2,202005
52760,4,2,1,202001
50030,2709,1502,1042,202005
50518,17,9,6,202003
52720,50,17,23,202005
52295,12,6,4,202002
52523,3,0,2,202004
51870,98,48,32,202001
50930,27,13,9,202004
53000,1,1,0,202006
51070,9,1,6,202005
51830,44,11,12,202002
51890,52,31,8,202006
50140,103,50,36,202005
51484,2,1,1,202003
51800,5,2,0,202002
50518,11,5,3,202006
52695,9,0,3,202004
50518,13,7,3,202005
50250,8,2,0,202002
53115,30,23,3,202003
50040,12,7,2,202002
50030,2865,1564,1094,202002
51040,69,47,13,202001
50210,9,4,2,202006
52140,2,1,1,202002
52040,4,2,2,202003
51855,18,8,4,202003
50100,3,0,0,202006
53010,19,11,4,202003
51030,2,2,0,202005
50380,115,61,39,202006
52320,126,70,36,202004
50932,18,10,4,202004
50970,539,363,88,202006
51830,45,14,11,202001
51205,11,5,4,202003
50060,193,79,93,202006
52940,8,4,1,202001
51850,7,3,0,202005
53020,40,11,7,202004
52350,16,10,4,202005
52065,55,29,18,202001
51890,55,19,12,202004
50030,2632,1453,1022,202004
50060,184,72,82,202001
53010,17,10,1,202006
51803,51,51,0,202006
52560,2,1,0,202002
50231,5,0,3,202005
51855,16,4,6,202001
51320,9,2,4,202002
51865,8,5,1,202002
52320,113,62,28,202006
51290,1,0,0,202001
51220,79,24,53,202001
52870,6,1,2,202003
53130,11,7,1,202006
52870,6,1,2,202006
51815,240,198,20,202002
51040,70,47,16,202002
52350,16,10,6,202006
50350,91,41,31,202004
51810,44,42,0,202001
52510,13,5,4,202002
50340,57,30,14,202003
52297,7,1,4,202001
51810,43,42,0,202002
50935,412,187,175,202005
52140,1,0,1,202006
52235,8,5,2,202005
51484,7,1,1,202002
51484,2,0,1,202005
51260,45,2,20,202003
51840,24,4,12,202001
51400,25,6,15,202002
52140,1,0,1,202003
51803,56,53,1,202002
51501,4,0,2,202002
53050,6,0,0,202003
51205,5,4,1,202002
51502,5,0,0,202006
51803,50,48,1,202001
51330,5,0,3,202002
50045,4,1,1,202005
50516,1548,356,1091,202003
51260,37,4,15,202004
52230,6,2,4,202001
50930,50,28,18,202003
52220,13,7,5,202003
51770,42,37,0,202003
51850,6,4,1,202001
50450,57,26,24,202006
51890,53,20,10,202005
53050,7,2,1,202005
52235,7,3,2,202001
52440,2,1,0,202003
51850,8,3,1,202003
51860,7,2,3,202002
51845,241,108,94,202001
52320,113,62,30,202005
53130,10,6,1,202004
51870,81,34,33,202004
50517,23,10,6,202003
50700,8,6,2,202002
51040,75,52,16,202003
50510,3,1,0,202002
51810,42,39,1,202005
50300,85,29,33,202001
52295,7,2,2,202005
53100,6,2,1,202004
52040,15,5,7,202001
51770,42,32,4,202001
51504,14,1,7,202006
51180,10,6,1,202004
50350,87,35,30,202003
53020,34,9,7,202006
52760,2,1,0,202006
51254,7,4,0,202001
52270,5,2,1,202004
52680,4,4,0,202002
53115,25,19,2,202001
51890,51,25,7,202002
53133,15,7,3,202001
50650,5,3,1,202003
51860,2,2,0,202003
50930,40,22,14,202002
52660,13,7,0,202004
50250,5,2,1,202006
50516,1520,363,1062,202004
50380,111,53,47,202005
50600,8,6,0,202002
51330,6,0,5,202003
50971,267,181,55,202005
51130,398,266,85,202001
51100,106,30,56,202003
52065,58,22,26,202005
51200,39,2,29,202004
51350,4,1,2,202003
50650,10,3,3,202005
51120,1,0,0,202004
51910,24,15,4,202004
52270,10,6,3,202005
50932,23,12,8,202002
52695,9,0,4,202005
50516,1505,359,1053,202005
51220,86,24,57,202006
51865,9,7,2,202004
50231,7,0,2,202003
50516,1469,339,1035,202002
52260,18,3,12,202001
52230,7,5,1,202005
noPort,3886,2172,1063,202005
52295,11,6,3,202006
50971,239,153,50,202006
50100,2,1,0,202002
51845,222,110,68,202006
50970,494,336,86,202005
52235,8,4,2,202004
53130,8,6,0,202005
50060,220,83,98,202002
51815,249,210,20,202003
53000,2,2,0,202005
50785,136,27,102,202001
50040,23,8,4,202003
51030,5,3,1,202003
50120,4,2,1,202005
50785,123,22,92,202003
51920,13,8,3,202006
53050,12,3,0,202002
52295,8,2,3,202004
53000,5,3,0,202001
52297,4,0,3,202004
50970,530,356,91,202001
52260,24,3,17,202003
51280,41,23,8,202002
51180,7,3,1,202005
52680,8,2,1,202005
51020,6,2,0,202006
50730,74,38,28,202005
51855,18,7,4,202002
52230,8,5,3,202002
52350,15,10,4,202002
50180,4,1,1,202006
50055,3150,1713,1128,202003
53010,20,14,1,202004
50100,5,2,0,202005
52940,7,3,1,202003
51500,6,0,0,202006
51910,29,16,7,202005
52440,3,1,1,202002
50935,442,211,180,202003
50231,3,0,3,202002
50610,4,1,0,202004
50700,12,6,4,202005
52350,12,9,2,202004
50350,65,27,24,202005
51020,7,5,1,202003
51030,1,0,1,202002
50441,25,10,8,202003
50180,4,1,1,202002
51830,40,13,4,202004
52760,9,4,1,202004
50250,3,2,0,202001
50055,2981,1609,1056,202002
51400,22,9,8,202003
50045,6,1,1,202004
51865,8,6,2,202005
50935,430,203,175,202004
50441,26,5,10,202006
52523,5,1,2,202003
51330,3,1,0,202005
51350,3,0,2,202002
50300,78,29,30,202006
50785,124,24,97,202002
50450,52,27,19,202005
53133,15,7,5,202003
51340,6,2,0,202003
52090,7,5,2,202002
51501,5,0,0,202006
51020,2,0,0,202001
50441,23,12,8,202005
51280,41,25,7,202005
52695,9,0,3,202003
51800,6,2,0,202004
51500,6,2,0,202001
51220,73,19,52,202005
52270,8,2,4,202002
50440,1,0,0,202001
52720,35,11,18,202001
51260,45,3,24,202002
51280,41,21,7,202006
51340,3,1,1,202002
50925,36,19,8,202001
52560,1,1,0,202001
51820,26,12,2,202005
50518,12,5,1,202001
51920,17,6,7,202001
50932,24,10,12,202005
53130,12,7,2,202003
50700,10,6,3,202006
50610,5,2,0,202006
51500,7,1,0,202004
51010,18,4,5,202001
50517,19,7,7,202005
53100,8,3,1,202003
51780,1,0,0,202003
50518,15,7,7,202004
51290,1,0,0,202004
53000,1,1,0,202004
51815,203,167,19,202005
50180,6,2,1,202003
51840,15,4,6,202004
51500,4,2,0,202003
51254,9,5,3,202005
53130,13,5,3,202002
51205,6,1,3,202006
50180,2,0,0,202001
51941,50,25,18,202002
52560,1,0,0,202005
50925,21,8,10,202005
51120,1,0,0,202003
50932,24,12,10,202006
52140,1,0,1,202004
52510,12,3,3,202004
50518,17,11,3,202002
50440,1,0,1,202002
51330,3,1,2,202001
52230,10,6,4,202006
51504,19,4,5,202004
51260,31,1,15,202006
52260,20,6,11,202002
50650,9,4,2,202006
50805,38,20,12,202004
51870,77,28,28,202006
50450,55,21,26,202002
52695,6,0,2,202002
50100,3,2,1,202004
51040,77,60,12,202005
51815,200,158,21,202006
52870,6,1,2,202002
51254,6,5,1,202003
52235,6,3,0,202002
51340,3,0,0,202004
51070,7,4,2,202004
50030,3023,1650,1162,202001
52560,4,1,1,202003
52523,5,2,1,202001
52870,6,1,1,202001
52560,1,0,0,202006
50970,509,356,84,202002
50971,284,196,56,202003
52720,47,14,23,202002
50650,7,3,3,202001
53133,17,8,4,202006
52660,7,3,1,202006
51810,54,49,1,202004
51800,5,4,0,202006
51484,3,0,0,202006
50060,209,83,97,202003
51100,102,26,53,202002
51820,32,12,7,202003
50516,1409,287,1030,202006
50140,94,43,34,202006
52065,53,21,20,202003
52065,64,26,27,202006
51501,6,2,1,202003
50790,7,1,4,202004
50790,9,1,4,202006
52240,56,43,9,202001
51040,79,55,16,202004
52440,3,1,2,202005
51205,11,4,3,202001
51030,3,2,0,202006
50120,9,5,2,202003
52720,42,14,20,202006
50930,39,26,12,202006
50650,7,3,1,202002
51340,1,1,0,202006
51502,1,0,0,202002
50300,78,29,31,202005
52260,31,7,17,202005
51840,15,2,5,202006
51330,2,0,1,202006
50970,560,392,99,202004
51340,5,4,0,202001
52480,1,1,0,202006
51130,431,286,93,202005
52297,7,0,5,202005
50790,6,1,3,202005
50380,101,53,37,202001
50250,5,1,2,202004
51330,4,1,3,202004
50350,87,43,19,202002
51870,94,46,28,202003
52660,4,2,0,202002
52940,6,4,1,202006
53010,17,11,1,202005
51100,109,36,48,202004
51350,2,1,0,202006
52480,1,1,0,202003
52510,13,5,4,202006
50517,20,8,7,202006
50210,7,4,2,202002
50700,11,6,5,202003
