inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50450,17,8,6,202005
50785,57,10,47,202002
53133,2,1,1,202003
50060,53,29,19,202003
51100,31,8,20,202002
51400,2,,1,202006
noPort,754,503,202,202006
52720,4,1,3,202006
50055,890,586,274,202006
50340,5,2,3,202001
50517,7,6,1,202001
51070,1,1,,202003
51205,1,,1,202005
52235,2,2,,202006
50140,17,12,4,202006
50516,309,26,275,202006
50790,1,1,,202004
51501,1,1,,202003
51820,1,1,,202003
52065,13,3,9,202003
52065,8,2,5,202006
50140,28,22,6,202004
51770,5,3,1,202005
51040,10,6,4,202004
51205,2,1,,202001
51260,6,,5,202002
51280,5,3,1,202006
51340,1,,1,202002
52720,4,1,3,202001
50300,21,7,14,202005
51840,1,,1,202006
52260,2,1,1,202005
50518,1,1,,202001
51820,6,4,1,202005
50070,1,1,,202005
50650,2,2,,202002
50970,146,119,17,202004
51320,1,,,202006
noPort,873,595,224,202004
50055,1109,702,358,202001
50600,1,1,,202003
51504,2,,1,202003
51845,68,37,24,202003
50650,1,1,,202006
50805,7,3,3,202004
51260,2,,2,202006
51504,1,,,202004
52260,1,,1,202002
53010,4,3,,202002
51870,12,7,3,202006
50790,1,1,,202005
51130,154,114,24,202005
50517,2,,2,202006
50030,888,582,288,202001
50070,1,1,,202002
50805,5,5,,202003
50350,3,,3,202002
51870,30,25,5,202003
50970,160,140,9,202002
50971,32,25,4,202003
52720,7,,6,202002
53133,1,1,,202006
51800,2,2,,202006
51810,29,28,,202004
51100,28,11,15,202004
53010,4,3,,202005
50700,1,,1,202004
53020,9,,5,202003
53133,2,1,,202004
52240,5,5,,202001
