inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51810,5,12.2,0.10000000000000053,201908
50517,4,2.0999999999999996,0.5,201909
51340,2,0.8000000000000003,1.4,201909
52680,1,0.40000000000000036,,201908
50060,51,26.800000000000004,47.00000000000001,201908
51200,10,,24.799999999999997,201910
52140,1,,2.6999999999999997,201911
52270,1,0.19999999999999973,,201907
53115,13,14.2,6.4,201908
53130,3,1.4000000000000012,,201911
51340,3,1.7000000000000006,1.0000000000000004,201911
52065,16,14.500000000000002,2.1999999999999984,201910
53130,4,1.8000000000000007,,201908
50300,21,12.399999999999999,8.600000000000001,201909
50030,717,1904.3999999999994,475.29999999999984,201908
50970,234,322.2,71.50000000000001,201910
52140,1,,1.3000000000000007,202000
52260,5,1.6000000000000005,4.500000000000001,201908
50518,4,11.3,,201911
51320,2,,1.5999999999999996,202000
51350,1,,0.6999999999999997,201911
53100,1,0.5,,202000
51180,1,1.7000000000000002,,202000
51803,14,14.699999999999998,0.09999999999999964,201907
51220,33,64.30000000000001,37.80000000000001,201908
51260,13,,17.0,201907
51254,2,,0.2999999999999998,201908
51220,35,49.5,47.7,201907
51280,3,5.500000000000001,2.7,201908
50518,4,7.5,,202000
50930,1,,2.9000000000000004,201908
51280,4,8.700000000000001,1.0999999999999996,201909
50650,3,0.09999999999999964,1.4000000000000004,202000
50700,1,6.5,,202000
51205,1,,,202000
53000,1,1.0,,201909
50518,3,11.0,,201909
53133,7,7.300000000000001,5.300000000000001,201911
52040,1,,1.3000000000000007,201910
50210,2,2.5000000000000004,1.0999999999999996,201910
50210,2,1.4,,201911
51020,1,3.0999999999999996,,201908
50055,751,683.4000000000003,593.5,201911
51820,3,1.2999999999999998,,201907
50925,1,2.1999999999999993,,201909
51350,1,,,201907
52350,4,5.6,,201910
50970,217,287.69999999999993,56.39999999999999,201911
53010,3,3.7,,201910
50250,2,0.40000000000000036,,201911
50805,3,4.4,,201911
51260,5,,6.299999999999999,201909
52350,2,5.7,,201909
51200,4,8.7,2.9000000000000004,201909
52510,4,0.7999999999999989,2.1000000000000005,201911
50300,19,18.2,5.600000000000001,201911
52295,3,0.20000000000000018,1.4000000000000004,201908
52680,1,0.40000000000000036,,202000
51100,19,12.700000000000001,18.0,202000
53133,4,5.2,0.5,201909
50030,579,1416.7999999999995,538.5000000000001,201910
51910,4,2.0,0.7999999999999994,201911
52065,17,16.4,10.600000000000001,201907
53020,11,7.199999999999998,1.9,201911
50300,21,13.400000000000002,8.600000000000001,201907
50700,5,19.6,5.199999999999999,201908
51040,38,28.0,6.8999999999999995,201911
51484,2,,1.8000000000000007,201908
50140,16,21.5,12.2,201910
50441,7,6.199999999999999,2.400000000000001,201911
51820,5,3.7,0.20000000000000018,202000
53115,10,6.3999999999999995,2.9000000000000004,201909
50380,34,31.700000000000003,11.0,201910
50441,5,4.0,1.9999999999999991,202000
50450,18,10.200000000000001,10.5,201908
50030,265,301.6999999999999,339.59999999999985,202000
50340,5,0.5,5.299999999999999,202000
51220,20,40.2,21.900000000000002,202000
51870,12,7.200000000000001,7.5,201909
noPort,1189,1492.599999999999,516.9000000000001,201907
noPort,1191,1434.7,565.3000000000002,201910
50140,20,19.799999999999997,17.0,201907
50935,115,194.50000000000006,123.4,202000
51040,41,26.8,11.999999999999996,201907
51845,36,24.400000000000002,19.599999999999998,201909
52220,4,0.3999999999999986,2.9000000000000004,201908
50030,710,1677.4,567.7000000000002,201907
51800,3,2.999999999999999,,201910
50055,889,885.4000000000002,573.8,201908
51254,3,1.7999999999999998,1.6999999999999993,201911
51820,7,4.2,,201908
51910,8,1.1000000000000005,1.2000000000000002,201908
51920,3,0.5000000000000004,1.5999999999999996,201911
52350,3,4.9,,201908
51180,4,4.6000000000000005,,201911
noPort,1206,1695.1999999999998,635.4999999999998,201911
50790,3,0.7000000000000002,0.49999999999999956,201909
51770,12,21.2,3.2999999999999994,201908
51803,16,36.300000000000004,3.8000000000000007,201908
52240,13,24.6,1.7999999999999998,201907
noPort,833,1177.1999999999996,396.2,202000
51865,2,0.09999999999999964,1.3000000000000003,201911
50600,1,2.8,,201909
51040,36,35.699999999999996,8.700000000000001,201910
51130,130,169.79999999999995,34.5,201911
51815,37,36.70000000000001,8.2,201911
53115,11,18.4,2.8000000000000007,201907
50380,35,32.4,11.600000000000001,201909
51350,1,1.0,,202000
51254,4,2.599999999999999,,201910
51040,49,31.900000000000006,12.100000000000001,201908
50805,5,2.2,2.0000000000000004,201908
51941,12,9.900000000000002,0.8999999999999995,202000
52940,1,,,201907
50516,390,67.8,787.3000000000002,201908
50518,5,5.1,1.5,201910
51280,9,14.0,4.800000000000001,202000
51845,41,11.799999999999997,39.7,201911
51200,7,5.6000000000000005,4.5000000000000036,201907
51500,1,0.1999999999999993,,201907
53130,6,3.0999999999999996,,201910
50517,1,0.7000000000000002,,202000
51890,16,8.100000000000001,1.9999999999999991,201907
50030,526,1142.1000000000001,565.8000000000001,201911
50730,27,28.9,4.800000000000001,201908
51815,33,26.999999999999996,6.8,201909
51840,2,,1.0999999999999996,201909
51340,1,2.9,,202000
51890,7,9.299999999999997,1.7000000000000002,201911
51320,4,4.0,2.4000000000000004,201908
51100,18,1.8000000000000007,32.6,201907
50785,19,6.699999999999999,18.400000000000002,201909
50785,37,14.899999999999999,29.699999999999996,201910
50935,135,246.5,125.10000000000001,201910
50030,619,1675.1000000000006,449.90000000000026,201909
51130,96,126.19999999999999,29.599999999999998,201910
51870,22,20.4,20.0,201908
51910,4,1.7999999999999998,0.5,201907
50300,16,3.3,6.1,201908
50340,3,8.3,0.5999999999999996,201911
50600,2,0.9000000000000004,,201910
50650,3,0.6000000000000005,2.0,201908
50650,2,,2.799999999999999,201910
50516,357,44.5,696.5999999999997,201909
51020,1,,,201909
53133,4,4.599999999999999,,201907
51920,3,0.10000000000000009,1.3000000000000003,201910
52230,1,2.5999999999999996,,202000
53020,10,4.000000000000001,3.3,201908
52270,2,2.9,,202000
52320,47,54.00000000000001,13.599999999999998,201907
50340,4,2.3,3.8000000000000007,201908
52220,4,1.3000000000000003,1.2000000000000002,201911
